"Standard Ethnicity","Age group","%"
"Other","Other",""
"Other","Age 0 to 4","8.9"
"Other","Age 5 to 9","7.4"
"Other","Age 10 to 14","6.3"
"Other","Age 15 to 17","3.9"
"Other","Age 18 to 24","12.1"
"Other","Age 25 to 29","11.4"
"Other","Age 30 to 34","11.6"
"Other","Age 35 to 39","9.6"
"Other","Age 40 to 44","7.6"
"Other","Age 45 to 49","5.9"
"Other","Age 50 to 54","4.6"
"Other","Age 55 to 59","3.5"
"Other","Age 60 to 64","2.5"
"Other","Age 65 to 69","1.7"
"Other","Age 70 to 74","1.2"
"Other","Age 75 to 79","0.8"
"Other","Age 80 to 84","0.5"
"Other","Age 85 and over","0.4"
"Arab","Other",""
"Arab","Age 0 to 4","11.2"
"Arab","Age 5 to 9","9.2"
"Arab","Age 10 to 14","6.9"
"Arab","Age 15 to 17","3.8"
"Arab","Age 18 to 24","13.2"
"Arab","Age 25 to 29","11.4"
"Arab","Age 30 to 34","10.7"
"Arab","Age 35 to 39","9.0"
"Arab","Age 40 to 44","7.2"
"Arab","Age 45 to 49","5.3"
"Arab","Age 50 to 54","3.9"
"Arab","Age 55 to 59","2.8"
"Arab","Age 60 to 64","2.0"
"Arab","Age 65 to 69","1.3"
"Arab","Age 70 to 74","0.9"
"Arab","Age 75 to 79","0.6"
"Arab","Age 80 to 84","0.4"
"Arab","Age 85 and over","0.2"
"Any other","Other",""
"Any other","Age 0 to 4","7.3"
"Any other","Age 5 to 9","6.1"
"Any other","Age 10 to 14","5.9"
"Any other","Age 15 to 17","3.9"
"Any other","Age 18 to 24","11.3"
"Any other","Age 25 to 29","11.4"
"Any other","Age 30 to 34","12.2"
"Any other","Age 35 to 39","10.0"
"Any other","Age 40 to 44","7.9"
"Any other","Age 45 to 49","6.4"
"Any other","Age 50 to 54","5.1"
"Any other","Age 55 to 59","4.1"
"Any other","Age 60 to 64","2.9"
"Any other","Age 65 to 69","1.9"
"Any other","Age 70 to 74","1.4"
"Any other","Age 75 to 79","1.0"
"Any other","Age 80 to 84","0.7"
"Any other","Age 85 and over","0.5"
