"NS-SEC","Ethnicity","%"
"Higher managerial, administrative, professional","Asian",""
"Higher managerial, administrative, professional","Bangladeshi","8"
"Higher managerial, administrative, professional","Chinese","19"
"Higher managerial, administrative, professional","Indian","27"
"Higher managerial, administrative, professional","Pakistani","11"
"Higher managerial, administrative, professional","Asian other","12"
"Higher managerial, administrative, professional","Black",""
"Higher managerial, administrative, professional","Black African","10"
"Higher managerial, administrative, professional","Black Caribbean","8"
"Higher managerial, administrative, professional","Black other","18"
"Higher managerial, administrative, professional","Mixed",""
"Higher managerial, administrative, professional","Mixed White/Asian","19"
"Higher managerial, administrative, professional","Mixed White/Black African","16"
"Higher managerial, administrative, professional","Mixed White/Black Caribbean","8"
"Higher managerial, administrative, professional","Mixed other","17"
"Higher managerial, administrative, professional","White",""
"Higher managerial, administrative, professional","White British","15"
"Higher managerial, administrative, professional","White Irish","20"
"Higher managerial, administrative, professional","White other","15"
"Higher managerial, administrative, professional","Other",""
"Higher managerial, administrative, professional","Arab","12"
"Higher managerial, administrative, professional","Any other","12"
"Lower managerial, administrative, professional","Asian",""
"Lower managerial, administrative, professional","Bangladeshi","13"
"Lower managerial, administrative, professional","Chinese","12"
"Lower managerial, administrative, professional","Indian","18"
"Lower managerial, administrative, professional","Pakistani","13"
"Lower managerial, administrative, professional","Asian other","14"
"Lower managerial, administrative, professional","Black",""
"Lower managerial, administrative, professional","Black African","15"
"Lower managerial, administrative, professional","Black Caribbean","15"
"Lower managerial, administrative, professional","Black other","20"
"Lower managerial, administrative, professional","Mixed",""
"Lower managerial, administrative, professional","Mixed White/Asian","22"
"Lower managerial, administrative, professional","Mixed White/Black African","11"
"Lower managerial, administrative, professional","Mixed White/Black Caribbean","21"
"Lower managerial, administrative, professional","Mixed other","24"
"Lower managerial, administrative, professional","White",""
"Lower managerial, administrative, professional","White British","20"
"Lower managerial, administrative, professional","White Irish","19"
"Lower managerial, administrative, professional","White other","16"
"Lower managerial, administrative, professional","Other",""
"Lower managerial, administrative, professional","Arab","11"
"Lower managerial, administrative, professional","Any other","13"
"Intermediate occupations","Asian",""
"Intermediate occupations","Bangladeshi","6"
"Intermediate occupations","Chinese","4"
"Intermediate occupations","Indian","7"
"Intermediate occupations","Pakistani","8"
"Intermediate occupations","Asian other","6"
"Intermediate occupations","Black",""
"Intermediate occupations","Black African","7"
"Intermediate occupations","Black Caribbean","4"
"Intermediate occupations","Black other","!"
"Intermediate occupations","Mixed",""
"Intermediate occupations","Mixed White/Asian","12"
"Intermediate occupations","Mixed White/Black African","4"
"Intermediate occupations","Mixed White/Black Caribbean","10"
"Intermediate occupations","Mixed other","7"
"Intermediate occupations","White",""
"Intermediate occupations","White British","6"
"Intermediate occupations","White Irish","6"
"Intermediate occupations","White other","4"
"Intermediate occupations","Other",""
"Intermediate occupations","Arab","4"
"Intermediate occupations","Any other","6"
"Small employers and own account workers","Asian",""
"Small employers and own account workers","Bangladeshi","12"
"Small employers and own account workers","Chinese","7"
"Small employers and own account workers","Indian","8"
"Small employers and own account workers","Pakistani","19"
"Small employers and own account workers","Asian other","12"
"Small employers and own account workers","Black",""
"Small employers and own account workers","Black African","7"
"Small employers and own account workers","Black Caribbean","8"
"Small employers and own account workers","Black other","8"
"Small employers and own account workers","Mixed",""
"Small employers and own account workers","Mixed White/Asian","6"
"Small employers and own account workers","Mixed White/Black African","9"
"Small employers and own account workers","Mixed White/Black Caribbean","5"
"Small employers and own account workers","Mixed other","6"
"Small employers and own account workers","White",""
"Small employers and own account workers","White British","9"
"Small employers and own account workers","White Irish","10"
"Small employers and own account workers","White other","13"
"Small employers and own account workers","Other",""
"Small employers and own account workers","Arab","11"
"Small employers and own account workers","Any other","12"
"Lower supervisory and technical","Asian",""
"Lower supervisory and technical","Bangladeshi","10"
"Lower supervisory and technical","Chinese","5"
"Lower supervisory and technical","Indian","5"
"Lower supervisory and technical","Pakistani","5"
"Lower supervisory and technical","Asian other","7"
"Lower supervisory and technical","Black",""
"Lower supervisory and technical","Black African","6"
"Lower supervisory and technical","Black Caribbean","8"
"Lower supervisory and technical","Black other","!"
"Lower supervisory and technical","Mixed",""
"Lower supervisory and technical","Mixed White/Asian","7"
"Lower supervisory and technical","Mixed White/Black African","2"
"Lower supervisory and technical","Mixed White/Black Caribbean","7"
"Lower supervisory and technical","Mixed other","6"
"Lower supervisory and technical","White",""
"Lower supervisory and technical","White British","8"
"Lower supervisory and technical","White Irish","6"
"Lower supervisory and technical","White other","9"
