"Title","Socio-economic groups by ethnicity"
"Location","England and Wales"
"Time period","2011"
"Data source","Census 2011"
"Data source link","https://www.ons.gov.uk/census/2011census"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","17/12/2012"

"Standard Ethnicity","Socio-economic groups","%"
"Asian","Higher managerial/administrative/professional","7.5"
"Asian","Lower managerial/administrative/professional","4.9"
"Asian","Intermediate occupations","4.8"
"Asian","Small employers and own account workers","6.7"
"Asian","Lower supervisory and technical","4.7"
"Asian","Semi-routine occupations","5.7"
"Asian","Routine occupations","4.8"
"Asian","Never worked/long-term unemployed","17.5"
"Asian","Full-time students","15.1"
"Black","Higher managerial/administrative/professional","2.1"
"Black","Lower managerial/administrative/professional","2.7"
"Black","Intermediate occupations","2.4"
"Black","Small employers and own account workers","1.7"
"Black","Lower supervisory and technical","2.1"
"Black","Semi-routine occupations","3.0"
"Black","Routine occupations","2.4"
"Black","Never worked/long-term unemployed","6.2"
"Black","Full-time students","6.5"
"Mixed","Higher managerial/administrative/professional","1.3"
"Mixed","Lower managerial/administrative/professional","1.3"
"Mixed","Intermediate occupations","1.2"
"Mixed","Small employers and own account workers","1.0"
"Mixed","Lower supervisory and technical","1.1"
"Mixed","Semi-routine occupations","1.3"
"Mixed","Routine occupations","1.1"
"Mixed","Never worked/long-term unemployed","2.5"
"Mixed","Full-time students","3.7"
"White","Higher managerial/administrative/professional","88.2"
"White","Lower managerial/administrative/professional","90.5"
"White","Intermediate occupations","91.0"
"White","Small employers and own account workers","89.8"
"White","Lower supervisory and technical","91.5"
"White","Semi-routine occupations","89.4"
"White","Routine occupations","90.9"
"White","Never worked/long-term unemployed","71.1"
"White","Full-time students","72.3"
"Other","Higher managerial/administrative/professional","1.0"
"Other","Lower managerial/administrative/professional","0.6"
"Other","Intermediate occupations","0.5"
"Other","Small employers and own account workers","0.9"
"Other","Lower supervisory and technical","0.7"
"Other","Semi-routine occupations","0.6"
"Other","Routine occupations","0.7"
"Other","Never worked/long-term unemployed","2.7"
"Other","Full-time students","2.3"
