"Geography","Ethnicity","%","Number"
"England","All","64.8","34,329,091"
"England","Asian","69.7","2,886,974"
"England","Bangladeshi","61.5","268,507"
"England","Chinese","82.2","311,828"
"England","Indian","72.6","1,013,550"
"England","Pakistani","62.6","696,841"
"England","Asian other","72.8","596,248"
"England","Black","66.5","1,227,458"
"England","Black African","67.4","658,725"
"England","Black Caribbean","68.6","405,493"
"England","Black other","58.7","163,240"
"England","Mixed","52.0","620,280"
"England","Mixed White/Asian","49.9","165,976"
"England","Mixed White/Black African","48.9","79,068"
"England","Mixed White/Black Caribbean","52.7","218,859"
"England","Mixed other","55.3","156,377"
"England","White","64.5","29,201,606"
"England","White British","63.7","26,932,465"
"England","White Irish","63.5","328,505"
"England","White Gypsy/Traveller","62.3","34,178"
"England","White other","78.5","1,906,458"
"England","Other","71.6","392,773"
"England","Arab","68.1","150,446"
"England","Any other","74.0","242,327"
"Wales","All","63.5","1,944,616"
"Wales","Asian","71.2","49,959"
"Wales","Bangladeshi","61.8","6,609"
"Wales","Chinese","80.4","10,963"
"Wales","Indian","74.7","12,882"
"Wales","Pakistani","64.2","7,848"
"Wales","Asian other","71.4","11,657"
"Wales","Black","71.6","13,089"
"Wales","Black African","73.1","8,693"
"Wales","Black Caribbean","74.2","2,825"
"Wales","Black other","60.9","1,571"
"Wales","Mixed","57.1","18,011"
"Wales","Mixed White/Asian","54.9","4,951"
"Wales","Mixed White/Black African","51.9","2,296"
"Wales","Mixed White/Black Caribbean","59.5","6,606"
"Wales","Mixed other","59.6","4,158"
"Wales","White","63.3","1,852,897"
"Wales","White British","63.0","1,799,390"
"Wales","White Irish","64.4","9,072"
"Wales","White Gypsy/Traveller","60.7","1,691"
"Wales","White other","76.4","42,744"
"Wales","Other","69.8","10,660"
"Wales","Arab","67.6","6,502"
"Wales","Any other","73.4","4,158"
