"Title","Working age population by ethnicity and country (England, Wales)"
"Location","England and Wales"
"Time period","2011"
"Data source","2011 Census"
"Data source link","https://www.ons.gov.uk/census/2011census"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","17/12/2012"

"Geography","Ethnicity","%","Number"
"England","All","100.0","34,329,091"
"England","Asian","8.4","2,886,974"
"England","Bangladeshi","0.8","268,507"
"England","Chinese","0.9","311,828"
"England","Indian","3.0","1,013,550"
"England","Pakistani","2.0","696,841"
"England","Asian other","1.7","596,248"
"England","Black","3.6","1,227,458"
"England","Black African","1.9","658,725"
"England","Black Caribbean","1.2","405,493"
"England","Black other","0.5","163,240"
"England","Mixed","1.8","620,280"
"England","Mixed White/Asian","0.5","165,976"
"England","Mixed White/Black African","0.2","79,068"
"England","Mixed White/Black Caribbean","0.6","218,859"
"England","Mixed other","0.5","156,377"
"England","White","85.1","29,201,606"
"England","White British","78.5","26,932,465"
"England","White Irish","1.0","328,505"
"England","White Gypsy/Traveller","0.1","34,178"
"England","White other","5.6","1,906,458"
"England","Other","1.1","392,773"
"England","Arab","0.4","150,446"
"England","Any other","0.7","242,327"
"Wales","All","100.0","1,944,616"
"Wales","Asian","2.6","49,959"
"Wales","Bangladeshi","0.3","6,609"
"Wales","Chinese","0.6","10,963"
"Wales","Indian","0.7","12,882"
"Wales","Pakistani","0.4","7,848"
"Wales","Asian other","0.6","11,657"
"Wales","Black","0.7","13,089"
"Wales","Black African","0.4","8,693"
"Wales","Black Caribbean","0.1","2,825"
"Wales","Black other","0.1","1,571"
"Wales","Mixed","0.9","18,011"
"Wales","Mixed White/Asian","0.3","4,951"
"Wales","Mixed White/Black African","0.1","2,296"
"Wales","Mixed White/Black Caribbean","0.3","6,606"
"Wales","Mixed other","0.2","4,158"
"Wales","White","95.3","1,852,897"
"Wales","White British","92.5","1,799,390"
"Wales","White Irish","0.5","9,072"
"Wales","White Gypsy/Traveller","0.1","1,691"
"Wales","White other","2.2","42,744"
"Wales","Other","0.5","10,660"
"Wales","Arab","0.3","6,502"
"Wales","Any other","0.2","4,158"
