"Title","Working age population by ethnicity"
"Location","England and Wales"
"Time period","2011"
"Data source","2011 Census"
"Data source link","https://www.ons.gov.uk/census/2011census"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","17/12/2012"

"Ethnicity","%","Number"
"All","100.0","36,273,707"
"Asian","8.1","2,936,933"
"Bangladeshi","0.8","275,116"
"Chinese","0.9","322,791"
"Indian","2.8","1,026,432"
"Pakistani","1.9","704,689"
"Asian other","1.7","607,905"
"Black","3.4","1,240,547"
"Black African","1.8","667,418"
"Black Caribbean","1.1","408,318"
"Black other","0.5","164,811"
"Mixed","1.8","638,291"
"Mixed White/Asian","0.5","170,927"
"Mixed White/Black African","0.2","81,364"
"Mixed White/Black Caribbean","0.6","225,465"
"Mixed other","0.4","160,535"
"White","85.6","31,054,503"
"White British","79.2","28,731,855"
"White Irish","0.9","337,577"
"White Gypsy/Traveller","0.1","35,869"
"White other","5.4","1,949,202"
"Other","1.1","403,433"
"Arab","0.4","156,948"
"Any other","0.7","246,485"
