"Title","Regional ethnic diversity"
"Location","England and Wales"
"Time period","2011"
"Data source","Office for National Statistics"
"Data source link","https://www.ons.gov.uk/census/2011census"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-08-03"
"Measure","Ethnicity","Region","Urban/Rural","Value","Source","Time"
"Ethnicity of the population","All usual residents","England and Wales","Urban","81.5","Census","2011"
"Ethnicity of the population","White","England and Wales","Urban","79.1","Census","2011"
"Ethnicity of the population","White - British","England and Wales","Urban","78.2","Census","2011"
"Ethnicity of the population","White - Irish","England and Wales","Urban","90","Census","2011"
"Ethnicity of the population","White - Gypsy or Irish Traveller","England and Wales","Urban","75.3","Census","2011"
"Ethnicity of the population","White - Other","England and Wales","Urban","92.1","Census","2011"
"Ethnicity of the population","Mixed","England and Wales","Urban","92.4","Census","2011"
"Ethnicity of the population","Mixed - White and Black Caribbean","England and Wales","Urban","93.4","Census","2011"
"Ethnicity of the population","Mixed - White and Black African","England and Wales","Urban","93.8","Census","2011"
"Ethnicity of the population","Mixed - White and Asian","England and Wales","Urban","90","Census","2011"
"Ethnicity of the population","Mixed - Other","England and Wales","Urban","92.6","Census","2011"
"Ethnicity of the population","Asian","England and Wales","Urban","97.4","Census","2011"
"Ethnicity of the population","Asian - Indian","England and Wales","Urban","97.3","Census","2011"
"Ethnicity of the population","Asian - Pakistani","England and Wales","Urban","99.1","Census","2011"
"Ethnicity of the population","Asian - Bangladeshi","England and Wales","Urban","98.7","Census","2011"
"Ethnicity of the population","Asian - Chinese","England and Wales","Urban","94.2","Census","2011"
"Ethnicity of the population","Asian - Other ","England and Wales","Urban","96.1","Census","2011"
"Ethnicity of the population","Black","England and Wales","Urban","98.1","Census","2011"
"Ethnicity of the population","Black - African","England and Wales","Urban","98.2","Census","2011"
"Ethnicity of the population","Black - Caribbean","England and Wales","Urban","97.9","Census","2011"
"Ethnicity of the population","Black - Other ","England and Wales","Urban","98","Census","2011"
"Ethnicity of the population","Other ","England and Wales","Urban","97","Census","2011"
"Ethnicity of the population","Other - Arab","England and Wales","Urban","97.5","Census","2011"
"Ethnicity of the population","Other - Any other ethnic group","England and Wales","Urban","96.6","Census","2011"
"Ethnicity of the population","All usual residents","North East","Urban","81.61","Census","2011"
"Ethnicity of the population","White","North East","Urban","80.98","Census","2011"
"Ethnicity of the population","White - British","North East","Urban","80.87","Census","2011"
"Ethnicity of the population","White - Irish","North East","Urban","85.07","Census","2011"
"Ethnicity of the population","White - Gypsy or Irish Traveller","North East","Urban","77.91","Census","2011"
"Ethnicity of the population","White - Other","North East","Urban","87.88","Census","2011"
"Ethnicity of the population","Mixed","North East","Urban","88.48","Census","2011"
"Ethnicity of the population","Mixed - White and Black Caribbean","North East","Urban","85.2","Census","2011"
"Ethnicity of the population","Mixed - White and Black African","North East","Urban","91.41","Census","2011"
"Ethnicity of the population","Mixed - White and Asian","North East","Urban","89.01","Census","2011"
"Ethnicity of the population","Mixed - Other","North East","Urban","89.47","Census","2011"
"Ethnicity of the population","Asian","North East","Urban","95.85","Census","2011"
"Ethnicity of the population","Asian - Indian","North East","Urban","93.81","Census","2011"
"Ethnicity of the population","Asian - Pakistani","North East","Urban","97.76","Census","2011"
"Ethnicity of the population","Asian - Bangladeshi","North East","Urban","98.49","Census","2011"
"Ethnicity of the population","Asian - Chinese","North East","Urban","94.83","Census","2011"
"Ethnicity of the population","Asian - Other ","North East","Urban","94.42","Census","2011"
"Ethnicity of the population","Black","North East","Urban","95.79","Census","2011"
"Ethnicity of the population","Black - African","North East","Urban","97.03","Census","2011"
"Ethnicity of the population","Black - Caribbean","North East","Urban","86.34","Census","2011"
"Ethnicity of the population","Black - Other ","North East","Urban","93.59","Census","2011"
"Ethnicity of the population","Other ","North East","Urban","95.35","Census","2011"
"Ethnicity of the population","Other - Arab","North East","Urban","95.78","Census","2011"
"Ethnicity of the population","Other - Any other ethnic group","North East","Urban","94.87","Census","2011"
"Ethnicity of the population","All usual residents","North West","Urban","89.39","Census","2011"
"Ethnicity of the population","White","North West","Urban","88.47","Census","2011"
"Ethnicity of the population","White - British","North West","Urban","88.27","Census","2011"
"Ethnicity of the population","White - Irish","North West","Urban","94.85","Census","2011"
"Ethnicity of the population","White - Gypsy or Irish Traveller","North West","Urban","90.5","Census","2011"
"Ethnicity of the population","White - Other","North West","Urban","93.62","Census","2011"
"Ethnicity of the population","Mixed","North West","Urban","95.46","Census","2011"
"Ethnicity of the population","Mixed - White and Black Caribbean","North West","Urban","96.2","Census","2011"
"Ethnicity of the population","Mixed - White and Black African","North West","Urban","96.91","Census","2011"
"Ethnicity of the population","Mixed - White and Asian","North West","Urban","93.77","Census","2011"
"Ethnicity of the population","Mixed - Other","North West","Urban","95.3","Census","2011"
"Ethnicity of the population","Asian","North West","Urban","98.39","Census","2011"
"Ethnicity of the population","Asian - Indian","North West","Urban","98.25","Census","2011"
"Ethnicity of the population","Asian - Pakistani","North West","Urban","99.48","Census","2011"
"Ethnicity of the population","Asian - Bangladeshi","North West","Urban","99.14","Census","2011"
"Ethnicity of the population","Asian - Chinese","North West","Urban","95.33","Census","2011"
"Ethnicity of the population","Asian - Other ","North West","Urban","96.75","Census","2011"
"Ethnicity of the population","Black","North West","Urban","98.54","Census","2011"
"Ethnicity of the population","Black - African","North West","Urban","98.73","Census","2011"
"Ethnicity of the population","Black - Caribbean","North West","Urban","98.03","Census","2011"
"Ethnicity of the population","Black - Other ","North West","Urban","98.62","Census","2011"
"Ethnicity of the population","Other ","North West","Urban","98.09","Census","2011"
"Ethnicity of the population","Other - Arab","North West","Urban","98.7","Census","2011"
"Ethnicity of the population","Other - Any other ethnic group","North West","Urban","97.33","Census","2011"
"Ethnicity of the population","All usual residents","Yorkshire and The Humber","Urban","82.49","Census","2011"
"Ethnicity of the population","White","Yorkshire and The Humber","Urban","80.69","Census","2011"
"Ethnicity of the population","White - British","Yorkshire and The Humber","Urban","80.37","Census","2011"
"Ethnicity of the population","White - Irish","Yorkshire and The Humber","Urban","87.19","Census","2011"
"Ethnicity of the population","White - Gypsy or Irish Traveller","Yorkshire and The Humber","Urban","82.8","Census","2011"
"Ethnicity of the population","White - Other","Yorkshire and The Humber","Urban","90.62","Census","2011"
"Ethnicity of the population","Mixed","Yorkshire and The Humber","Urban","91.89","Census","2011"
"Ethnicity of the population","Mixed - White and Black Caribbean","Yorkshire and The Humber","Urban","93.26","Census","2011"
"Ethnicity of the population","Mixed - White and Black African","Yorkshire and The Humber","Urban","91.8","Census","2011"
"Ethnicity of the population","Mixed - White and Asian","Yorkshire and The Humber","Urban","91.07","Census","2011"
"Ethnicity of the population","Mixed - Other","Yorkshire and The Humber","Urban","90.41","Census","2011"
"Ethnicity of the population","Asian","Yorkshire and The Humber","Urban","97.85","Census","2011"
"Ethnicity of the population","Asian - Indian","Yorkshire and The Humber","Urban","96.74","Census","2011"
"Ethnicity of the population","Asian - Pakistani","Yorkshire and The Humber","Urban","99.22","Census","2011"
"Ethnicity of the population","Asian - Bangladeshi","Yorkshire and The Humber","Urban","98.04","Census","2011"
"Ethnicity of the population","Asian - Chinese","Yorkshire and The Humber","Urban","93.69","Census","2011"
"Ethnicity of the population","Asian - Other ","Yorkshire and The Humber","Urban","94.89","Census","2011"
"Ethnicity of the population","Black","Yorkshire and The Humber","Urban","96.9","Census","2011"
"Ethnicity of the population","Black - African","Yorkshire and The Humber","Urban","97.14","Census","2011"
"Ethnicity of the population","Black - Caribbean","Yorkshire and The Humber","Urban","96.96","Census","2011"
"Ethnicity of the population","Black - Other ","Yorkshire and The Humber","Urban","95.76","Census","2011"
"Ethnicity of the population","Other ","Yorkshire and The Humber","Urban","96.59","Census","2011"
"Ethnicity of the population","Other - Arab","Yorkshire and The Humber","Urban","97.46","Census","2011"
"Ethnicity of the population","Other - Any other ethnic group","Yorkshire and The Humber","Urban","95.63","Census","2011"
