"Title","Convictions by ethnicity and sex"
"Location","England and Wales"
"Time period","2009 to 2016"
"Data source","Criminal Justice Statistics 
 https://www.gov.uk/government/statistics/criminal-justice-system-statistics-quarterly-december-2016"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Year","Sex","Age group","Ethnicity","Convictions","Prosecutions","Conviction Ratio"
"2009","Female","All","Asian","840","1,174","72"
"2009","Female","All","Black","2,953","3,888","76"
"2009","Female","All","Chinese and other","564","729","77"
"2009","Female","All","Mixed","1,221","1,738","70"
"2009","Female","All","Not stated","8,626","10,324","84"
"2009","Female","All","White","34,801","43,722","80"
"2009","Male","All","Asian","12,905","17,964","72"
"2009","Male","All","Black","20,577","28,463","72"
"2009","Male","All","Chinese and other","3,225","4,387","74"
"2009","Male","All","Mixed","7,001","9,832","71"
"2009","Male","All","Not stated","37,434","39,112","96"
"2009","Male","All","White","196,446","249,942","79"
"2009","Not Known","All","Asian","14","33","42"
"2009","Not Known","All","Black","51","102","50"
"2009","Not Known","All","Chinese and other","10","18","56"
"2009","Not Known","All","Mixed","15","22","68"
"2009","Not Known","All","Not stated","1,528","2,793","55"
"2009","Not Known","All","White","238","416","57"
"2010","Female","All","Asian","945","1,301","73"
"2010","Female","All","Black","3,127","4,201","74"
"2010","Female","All","Chinese and other","602","773","78"
"2010","Female","All","Mixed","1,392","1,856","75"
"2010","Female","All","Not stated","7,243","9,408","77"
"2010","Female","All","White","37,805","46,948","81"
"2010","Male","All","Asian","14,755","19,221","77"
"2010","Male","All","Black","23,236","30,438","76"
"2010","Male","All","Chinese and other","3,682","4,453","83"
"2010","Male","All","Mixed","8,242","10,942","75"
"2010","Male","All","Not stated","26,364","33,278","79"
"2010","Male","All","White","220,505","270,756","81"
"2010","Not Known","All","Asian","14","35","40"
"2010","Not Known","All","Black","40","86","47"
"2010","Not Known","All","Chinese and other","4","9","44"
"2010","Not Known","All","Mixed","11","19","58"
"2010","Not Known","All","Not stated","1,704","2,914","59"
"2010","Not Known","All","White","161","294","55"
"2011","Female","All","Asian","906","1,268","72"
"2011","Female","All","Black","2,790","3,470","80"
"2011","Female","All","Chinese and other","523","636","82"
"2011","Female","All","Mixed","1,359","1,795","76"
"2011","Female","All","Not stated","6,762","8,973","75"
"2011","Female","All","White","36,133","44,076","82"
"2011","Male","All","Asian","14,825","18,861","79"
"2011","Male","All","Black","23,746","30,294","78"
"2011","Male","All","Chinese and other","3,438","4,247","81"
"2011","Male","All","Mixed","8,376","10,771","78"
"2011","Male","All","Not stated","24,953","33,096","75"
"2011","Male","All","White","216,884","261,275","83"
"2011","Not Known","All","Asian","19","35","54"
"2011","Not Known","All","Black","36","62","58"
"2011","Not Known","All","Chinese and other","8","13","62"
"2011","Not Known","All","Mixed","7","15","47"
"2011","Not Known","All","Not stated","2,077","3,647","57"
"2011","Not Known","All","White","210","324","65"
"2012","Female","All","Asian","759","1,016","75"
"2012","Female","All","Black","2,242","2,817","80"
"2012","Female","All","Chinese and other","427","499","86"
"2012","Female","All","Mixed","1,050","1,364","77"
"2012","Female","All","Not stated","6,149","8,383","73"
"2012","Female","All","White","32,064","38,350","84"
"2012","Male","All","Asian","13,112","16,672","79"
"2012","Male","All","Black","20,769","26,263","79"
"2012","Male","All","Chinese and other","3,034","3,675","83"
"2012","Male","All","Mixed","7,431","9,450","79"
"2012","Male","All","Not stated","25,401","33,357","76"
"2012","Male","All","White","193,103","229,514","84"
"2012","Not Known","All","Asian","24","57","42"
"2012","Not Known","All","Black","40","73","55"
"2012","Not Known","All","Chinese and other","9","19","47"
"2012","Not Known","All","Mixed","16","25","64"
"2012","Not Known","All","Not stated","2,222","3,893","57"
"2012","Not Known","All","White","259","437","59"
"2013","Female","All","Asian","727","1,065","68"
"2013","Female","All","Black","1,965","2,633","75"
"2013","Female","All","Chinese and other","429","519","83"
"2013","Female","All","Mixed","970","1,294","75"
"2013","Female","All","Not stated","6,635","8,922","74"
"2013","Female","All","White","30,367","37,685","81"
"2013","Male","All","Asian","12,451","16,838","74"
"2013","Male","All","Black","19,855","26,003","76"
"2013","Male","All","Chinese and other","2,969","3,620","82"
"2013","Male","All","Mixed","7,001","9,231","76"
"2013","Male","All","Not stated","25,693","33,790","76"
"2013","Male","All","White","181,883","222,618","82"
"2013","Not Known","All","Asian","37","102","36"
"2013","Not Known","All","Black","38","92","41"
"2013","Not Known","All","Chinese and other","9","17","53"
"2013","Not Known","All","Mixed","8","17","47"
"2013","Not Known","All","Not stated","2,453","4,495","55"
"2013","Not Known","All","White","317","554","57"
"2014","Female","All","Asian","666","943","71"
