"Title","Average length of custodial sentences"
"Location","England and Wales"
"Time period","2009 to 2016"
"Data source","Ministry of Justice"
"Data source link","https://www.gov.uk/government/statistics/criminal-justice-system-statistics-quarterly-december-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","18 May 2017"
"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Court type","Age group","Age group_type","Sex","Sex_type","Value"," Numerator "," Denominator "
"Average Custodial Sentence length (months per person)","2009","Year","White","ONS 5+1 2001","All","Juveniles","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","11","29795","2709"
"Average Custodial Sentence length (months per person)","2010","Year","White","ONS 5+1 2001","All","Juveniles","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","12","26929","2341"
"Average Custodial Sentence length (months per person)","2011","Year","White","ONS 5+1 2001","All","Juveniles","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","12","26413","2253"
"Average Custodial Sentence length (months per person)","2012","Year","White","ONS 5+1 2001","All","Juveniles","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","12","17964","1513"
"Average Custodial Sentence length (months per person)","2013","Year","White","ONS 5+1 2001","All","Juveniles","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","13","15866","1185"
"Average Custodial Sentence length (months per person)","2014","Year","White","ONS 5+1 2001","All","Juveniles","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","13","12616","943"
"Average Custodial Sentence length (months per person)","2015","Year","White","ONS 5+1 2001","All","Juveniles","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","15","12676","850"
"Average Custodial Sentence length (months per person)","2016","Year","White","ONS 5+1 2001","All","Juveniles","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","14","9581","668"
"Average Custodial Sentence length (months per person)","2009","Year","White","ONS 5+1 2001","All","Young adults","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","14","98146","6967"
"Average Custodial Sentence length (months per person)","2010","Year","White","ONS 5+1 2001","All","Young adults","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","15","107448","7357"
"Average Custodial Sentence length (months per person)","2011","Year","White","ONS 5+1 2001","All","Young adults","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","16","115902","7130"
"Average Custodial Sentence length (months per person)","2012","Year","White","ONS 5+1 2001","All","Young adults","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","17","91687","5436"
"Average Custodial Sentence length (months per person)","2013","Year","White","ONS 5+1 2001","All","Young adults","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","19","84279","4508"
"Average Custodial Sentence length (months per person)","2014","Year","White","ONS 5+1 2001","All","Young adults","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","17","73936","4309"
"Average Custodial Sentence length (months per person)","2015","Year","White","ONS 5+1 2001","All","Young adults","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","18","63023","3571"
"Average Custodial Sentence length (months per person)","2016","Year","White","ONS 5+1 2001","All","Young adults","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","18","57144","3144"
"Average Custodial Sentence length (months per person)","2009","Year","White","ONS 5+1 2001","All","Adults","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","15","604144","40441"
"Average Custodial Sentence length (months per person)","2010","Year","White","ONS 5+1 2001","All","Adults","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","15","729621","48190"
"Average Custodial Sentence length (months per person)","2011","Year","White","ONS 5+1 2001","All","Adults","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","16","829437","52827"
"Average Custodial Sentence length (months per person)","2012","Year","White","ONS 5+1 2001","All","Adults","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","16","788283","49522"
"Average Custodial Sentence length (months per person)","2013","Year","White","ONS 5+1 2001","All","Adults","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","17","832926","49533"
"Average Custodial Sentence length (months per person)","2014","Year","White","ONS 5+1 2001","All","Adults","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","17","829618","48733"
"Average Custodial Sentence length (months per person)","2015","Year","White","ONS 5+1 2001","All","Adults","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","18","836953","47118"
"Average Custodial Sentence length (months per person)","2016","Year","White","ONS 5+1 2001","All","Adults","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","18","803567","44839"
"Average Custodial Sentence length (months per person)","2009","Year","Black","ONS 5+1 2001","All","Juveniles","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","15","6497","423"
"Average Custodial Sentence length (months per person)","2010","Year","Black","ONS 5+1 2001","All","Juveniles","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","17","8144","481"
"Average Custodial Sentence length (months per person)","2011","Year","Black","ONS 5+1 2001","All","Juveniles","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","16","9593","586"
"Average Custodial Sentence length (months per person)","2012","Year","Black","ONS 5+1 2001","All","Juveniles","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","17","7762","453"
"Average Custodial Sentence length (months per person)","2013","Year","Black","ONS 5+1 2001","All","Juveniles","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","19","6056","318"
"Average Custodial Sentence length (months per person)","2014","Year","Black","ONS 5+1 2001","All","Juveniles","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","19","4465","235"
"Average Custodial Sentence length (months per person)","2015","Year","Black","ONS 5+1 2001","All","Juveniles","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","18","4429","250"
"Average Custodial Sentence length (months per person)","2016","Year","Black","ONS 5+1 2001","All","Juveniles","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","16","3710","237"
"Average Custodial Sentence length (months per person)","2009","Year","Black","ONS 5+1 2001","All","Young adults","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","24","21632","884"
"Average Custodial Sentence length (months per person)","2010","Year","Black","ONS 5+1 2001","All","Young adults","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","25","25412","1029"
"Average Custodial Sentence length (months per person)","2011","Year","Black","ONS 5+1 2001","All","Young adults","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","26","30214","1183"
"Average Custodial Sentence length (months per person)","2012","Year","Black","ONS 5+1 2001","All","Young adults","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","27","26270","978"
"Average Custodial Sentence length (months per person)","2013","Year","Black","ONS 5+1 2001","All","Young adults","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","27","22133","806"
"Average Custodial Sentence length (months per person)","2014","Year","Black","ONS 5+1 2001","All","Young adults","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","27","21191","795"
"Average Custodial Sentence length (months per person)","2015","Year","Black","ONS 5+1 2001","All","Young adults","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","24","19403","796"
"Average Custodial Sentence length (months per person)","2016","Year","Black","ONS 5+1 2001","All","Young adults","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","25","20969","838"
"Average Custodial Sentence length (months per person)","2009","Year","Black","ONS 5+1 2001","All","Adults","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","20","105850","5319"
"Average Custodial Sentence length (months per person)","2010","Year","Black","ONS 5+1 2001","All","Adults","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","21","122161","5757"
"Average Custodial Sentence length (months per person)","2011","Year","Black","ONS 5+1 2001","All","Adults","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","23","140183","6121"
"Average Custodial Sentence length (months per person)","2012","Year","Black","ONS 5+1 2001","All","Adults","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","23","130563","5605"
"Average Custodial Sentence length (months per person)","2013","Year","Black","ONS 5+1 2001","All","Adults","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","24","125190","5198"
"Average Custodial Sentence length (months per person)","2014","Year","Black","ONS 5+1 2001","All","Adults","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","25","124947","5064"
"Average Custodial Sentence length (months per person)","2015","Year","Black","ONS 5+1 2001","All","Adults","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","26","126122","4912"
"Average Custodial Sentence length (months per person)","2016","Year","Black","ONS 5+1 2001","All","Adults","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","24","123346","5098"
"Average Custodial Sentence length (months per person)","2009","Year","Asian","ONS 5+1 2001","All","Juveniles","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","16","2756","176"
"Average Custodial Sentence length (months per person)","2010","Year","Asian","ONS 5+1 2001","All","Juveniles","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","14","2973","212"
"Average Custodial Sentence length (months per person)","2011","Year","Asian","ONS 5+1 2001","All","Juveniles","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","17","3798","228"
"Average Custodial Sentence length (months per person)","2012","Year","Asian","ONS 5+1 2001","All","Juveniles","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","16","2422","150"
"Average Custodial Sentence length (months per person)","2013","Year","Asian","ONS 5+1 2001","All","Juveniles","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","15","1839","119"
"Average Custodial Sentence length (months per person)","2014","Year","Asian","ONS 5+1 2001","All","Juveniles","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","17","1524","88"
"Average Custodial Sentence length (months per person)","2015","Year","Asian","ONS 5+1 2001","All","Juveniles","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","21","2527","118"
"Average Custodial Sentence length (months per person)","2016","Year","Asian","ONS 5+1 2001","All","Juveniles","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","21","1950","95"
"Average Custodial Sentence length (months per person)","2009","Year","Asian","ONS 5+1 2001","All","Young adults","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","21","9450","451"
"Average Custodial Sentence length (months per person)","2010","Year","Asian","ONS 5+1 2001","All","Young adults","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","21","12118","575"
"Average Custodial Sentence length (months per person)","2011","Year","Asian","ONS 5+1 2001","All","Young adults","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","24","14640","619"
"Average Custodial Sentence length (months per person)","2012","Year","Asian","ONS 5+1 2001","All","Young adults","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","24","12776","536"
"Average Custodial Sentence length (months per person)","2013","Year","Asian","ONS 5+1 2001","All","Young adults","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","23","9661","412"
"Average Custodial Sentence length (months per person)","2014","Year","Asian","ONS 5+1 2001","All","Young adults","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","25","9144","371"
"Average Custodial Sentence length (months per person)","2015","Year","Asian","ONS 5+1 2001","All","Young adults","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","26","9155","354"
"Average Custodial Sentence length (months per person)","2016","Year","Asian","ONS 5+1 2001","All","Young adults","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","23","8155","355"
"Average Custodial Sentence length (months per person)","2009","Year","Asian","ONS 5+1 2001","All","Adults","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","19","63647","3268"
"Average Custodial Sentence length (months per person)","2010","Year","Asian","ONS 5+1 2001","All","Adults","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","20","74939","3744"
