"Year","Sex","Age group","Ethnicity","Offence Group","ACSL (in months)"
"2009","All","All","Asian","Criminal damage and arson","34.5"
"2009","All","All","Asian","Drug offences","33.1"
"2009","All","All","Asian","Fraud Offences","13.6"
"2009","All","All","Asian","Miscellaneous crimes against society","9.6"
"2009","All","All","Asian","Possession of weapons","17.5"
"2009","All","All","Asian","Public order offences","10.6"
"2009","All","All","Asian","Robbery","30.8"
"2009","All","All","Asian","Sexual offences","41.5"
"2009","All","All","Asian","Theft Offences","7.5"
"2009","All","All","Asian","Violence against the person","29.6"
"2009","All","All","Black","Criminal damage and arson","14.2"
"2009","All","All","Black","Drug offences","35.7"
"2009","All","All","Black","Fraud Offences","11.4"
"2009","All","All","Black","Miscellaneous crimes against society","8.2"
"2009","All","All","Black","Possession of weapons","18.5"
"2009","All","All","Black","Public order offences","7.3"
"2009","All","All","Black","Robbery","33.9"
"2009","All","All","Black","Sexual offences","48.8"
"2009","All","All","Black","Theft Offences","9.6"
"2009","All","All","Black","Violence against the person","30.7"
"2009","All","All","Mixed","Criminal damage and arson","4.9"
"2009","All","All","Mixed","Drug offences","30.4"
"2009","All","All","Mixed","Fraud Offences","11.0"
"2009","All","All","Mixed","Miscellaneous crimes against society","7.1"
"2009","All","All","Mixed","Possession of weapons","14.7"
"2009","All","All","Mixed","Public order offences","6.6"
"2009","All","All","Mixed","Robbery","31.2"
"2009","All","All","Mixed","Sexual offences","52.6"
"2009","All","All","Mixed","Theft Offences","9.0"
"2009","All","All","Mixed","Violence against the person","18.3"
"2009","All","All","Other inc Chinese","Criminal damage and arson","20.6"
"2009","All","All","Other inc Chinese","Drug offences","27.2"
"2009","All","All","Other inc Chinese","Fraud Offences","8.8"
"2009","All","All","Other inc Chinese","Miscellaneous crimes against society","7.2"
"2009","All","All","Other inc Chinese","Possession of weapons","19.2"
"2009","All","All","Other inc Chinese","Public order offences","8.3"
"2009","All","All","Other inc Chinese","Robbery","36.9"
"2009","All","All","Other inc Chinese","Sexual offences","64.7"
"2009","All","All","Other inc Chinese","Theft Offences","7.4"
"2009","All","All","Other inc Chinese","Violence against the person","32.4"
"2009","All","All","White","Criminal damage and arson","18.9"
"2009","All","All","White","Drug offences","27.9"
"2009","All","All","White","Fraud Offences","11.9"
"2009","All","All","White","Miscellaneous crimes against society","7.5"
"2009","All","All","White","Possession of weapons","9.9"
"2009","All","All","White","Public order offences","6.9"
"2009","All","All","White","Robbery","33.6"
"2009","All","All","White","Sexual offences","49.0"
"2009","All","All","White","Theft Offences","8.5"
"2009","All","All","White","Violence against the person","18.8"
"2010","All","All","Asian","Criminal damage and arson","24.7"
"2010","All","All","Asian","Drug offences","29.0"
"2010","All","All","Asian","Fraud Offences","15.6"
"2010","All","All","Asian","Miscellaneous crimes against society","9.8"
"2010","All","All","Asian","Possession of weapons","16.3"
"2010","All","All","Asian","Public order offences","10.9"
"2010","All","All","Asian","Robbery","31.0"
"2010","All","All","Asian","Sexual offences","39.0"
"2010","All","All","Asian","Theft Offences","8.2"
"2010","All","All","Asian","Violence against the person","29.6"
"2010","All","All","Black","Criminal damage and arson","15.7"
"2010","All","All","Black","Drug offences","34.7"
"2010","All","All","Black","Fraud Offences","11.7"
"2010","All","All","Black","Miscellaneous crimes against society","8.7"
"2010","All","All","Black","Possession of weapons","19.2"
"2010","All","All","Black","Public order offences","6.6"
"2010","All","All","Black","Robbery","37.3"
"2010","All","All","Black","Sexual offences","58.6"
"2010","All","All","Black","Theft Offences","10.5"
"2010","All","All","Black","Violence against the person","26.8"
"2010","All","All","Mixed","Criminal damage and arson","17.7"
"2010","All","All","Mixed","Drug offences","27.5"
"2010","All","All","Mixed","Fraud Offences","11.1"
"2010","All","All","Mixed","Miscellaneous crimes against society","6.8"
"2010","All","All","Mixed","Possession of weapons","16.6"
"2010","All","All","Mixed","Public order offences","7.8"
"2010","All","All","Mixed","Robbery","34.5"
"2010","All","All","Mixed","Sexual offences","59.9"
"2010","All","All","Mixed","Theft Offences","8.6"
"2010","All","All","Mixed","Violence against the person","22.2"
"2010","All","All","Other inc Chinese","Criminal damage and arson","24.9"
"2010","All","All","Other inc Chinese","Drug offences","26.6"
"2010","All","All","Other inc Chinese","Fraud Offences","8.5"
"2010","All","All","Other inc Chinese","Miscellaneous crimes against society","8.4"
"2010","All","All","Other inc Chinese","Possession of weapons","9.0"
"2010","All","All","Other inc Chinese","Public order offences","7.6"
"2010","All","All","Other inc Chinese","Robbery","37.4"
"2010","All","All","Other inc Chinese","Sexual offences","40.7"
"2010","All","All","Other inc Chinese","Theft Offences","5.8"
"2010","All","All","Other inc Chinese","Violence against the person","29.5"
"2010","All","All","White","Criminal damage and arson","18.6"
"2010","All","All","White","Drug offences","28.4"
"2010","All","All","White","Fraud Offences","13.1"
"2010","All","All","White","Miscellaneous crimes against society","7.7"
"2010","All","All","White","Possession of weapons","11.7"
"2010","All","All","White","Public order offences","6.9"
"2010","All","All","White","Robbery","34.2"
"2010","All","All","White","Sexual offences","49.2"
"2010","All","All","White","Theft Offences","8.7"
"2010","All","All","White","Violence against the person","19.2"
"2011","All","All","Asian","Criminal damage and arson","22.1"
"2011","All","All","Asian","Drug offences","34.3"
"2011","All","All","Asian","Fraud Offences","19.8"
"2011","All","All","Asian","Miscellaneous crimes against society","11.5"
"2011","All","All","Asian","Possession of weapons","16.7"
"2011","All","All","Asian","Public order offences","8.8"
"2011","All","All","Asian","Robbery","32.3"
"2011","All","All","Asian","Sexual offences","44.6"
"2011","All","All","Asian","Theft Offences","8.8"
"2011","All","All","Asian","Violence against the person","30.3"
"2011","All","All","Black","Criminal damage and arson","13.1"
"2011","All","All","Black","Drug offences","37.5"
"2011","All","All","Black","Fraud Offences","13.1"
