"Ethnicity","Year",""
"Asian","2009","19"
"Asian","2010","20"
"Asian","2011","22"
"Asian","2012","22"
"Asian","2013","23"
"Asian","2014","25"
"Asian","2015","25"
"Asian","2016","25"
"Asian","2017","27"
"Black","2009","20"
"Black","2010","21"
"Black","2011","23"
"Black","2012","23"
"Black","2013","24"
"Black","2014","25"
"Black","2015","25"
"Black","2016","24"
"Black","2017","26"
"Mixed","2009","16"
"Mixed","2010","17"
"Mixed","2011","18"
"Mixed","2012","20"
"Mixed","2013","19"
"Mixed","2014","20"
"Mixed","2015","20"
"Mixed","2016","21"
"Mixed","2017","22"
"White","2009","15"
"White","2010","15"
"White","2011","16"
"White","2012","16"
"White","2013","17"
"White","2014","17"
"White","2015","18"
"White","2016","18"
"White","2017","18"
"Other inc Chinese","2009","17"
"Other inc Chinese","2010","17"
"Other inc Chinese","2011","17"
"Other inc Chinese","2012","17"
"Other inc Chinese","2013","19"
"Other inc Chinese","2014","19"
"Other inc Chinese","2015","21"
"Other inc Chinese","2016","23"
"Other inc Chinese","2017","21"
