"Title","Prosecutions and convictions"
"Location","England and Wales"
"Time period","2009 to 2016"
"Data source","Ministry of Justice"
"Data source link","https://www.gov.uk/government/collections/criminal-justice-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-09-11"
"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Gender","Gender_type","Age Group","Age Group Type","Value","Denominator","Numerator"
"Percentage of defendants convicted","2009","Year","Asian","ONS 5+1 2001","All","Male/Female/Not known/All","Adults","Juveniles/Adults/All","72","16856","12130"
"Percentage of defendants convicted","2009","Year","Black","ONS 5+1 2001","All","Male/Female/Not known/All","Adults","Juveniles/Adults/All","73","27054","19742"
"Percentage of defendants convicted","2009","Year","Other","ONS 5+1 2001","All","Male/Female/Not known/All","Adults","Juveniles/Adults/All","74.4","4687","3488"
"Percentage of defendants convicted","2009","Year","Mixed","ONS 5+1 2001","All","Male/Female/Not known/All","Adults","Juveniles/Adults/All","70.8","8825","6247"
"Percentage of defendants convicted","2009","Year","Not stated","ONS 5+1 2001","All","Male/Female/Not known/All","Adults","Juveniles/Adults/All","92.1","46969","43271"
"Percentage of defendants convicted","2009","Year","White","ONS 5+1 2001","All","Male/Female/Not known/All","Adults","Juveniles/Adults/All","78.7","253551","199580"
"Percentage of defendants convicted","2009","Year","Asian","ONS 5+1 2001","All","Male/Female/Not known/All","All","Juveniles/Adults/All","71.8","19171","13759"
"Percentage of defendants convicted","2009","Year","Black","ONS 5+1 2001","All","Male/Female/Not known/All","All","Juveniles/Adults/All","72.7","32453","23581"
"Percentage of defendants convicted","2009","Year","Other","ONS 5+1 2001","All","Male/Female/Not known/All","All","Juveniles/Adults/All","74","5134","3799"
"Percentage of defendants convicted","2009","Year","Mixed","ONS 5+1 2001","All","Male/Female/Not known/All","All","Juveniles/Adults/All","71.1","11592","8237"
"Percentage of defendants convicted","2009","Year","Not stated","ONS 5+1 2001","All","Male/Female/Not known/All","All","Juveniles/Adults/All","91.1","52229","47588"
"Percentage of defendants convicted","2009","Year","White","ONS 5+1 2001","All","Male/Female/Not known/All","All","Juveniles/Adults/All","78.7","294080","231485"
"Percentage of defendants convicted","2009","Year","Asian","ONS 5+1 2001","All","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","70.4","2315","1629"
"Percentage of defendants convicted","2009","Year","Black","ONS 5+1 2001","All","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","71.1","5399","3839"
"Percentage of defendants convicted","2009","Year","Other","ONS 5+1 2001","All","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","69.6","447","311"
"Percentage of defendants convicted","2009","Year","Mixed","ONS 5+1 2001","All","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","71.9","2767","1990"
"Percentage of defendants convicted","2009","Year","Not stated","ONS 5+1 2001","All","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","82.1","5260","4317"
"Percentage of defendants convicted","2009","Year","White","ONS 5+1 2001","All","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","78.7","40529","31905"
"Percentage of defendants convicted","2009","Year","Asian","ONS 5+1 2001","Female","Male/Female/Not known/All","Adults","Juveniles/Adults/All","71.2","1076","766"
"Percentage of defendants convicted","2009","Year","Black","ONS 5+1 2001","Female","Male/Female/Not known/All","Adults","Juveniles/Adults/All","75.3","3306","2490"
