"Title","Remand status at Crown Court by ethnicity and age group"
"Location","England and Wales"
"Time period","2012 to 2016"
"Data source","Criminal Justice Statistics"
"Data source link","https://www.gov.uk/government/statistics/criminal-justice-system-statistics-quarterly-september-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2014"

"","Not remanded","","","Bail","","","Custody","",""
"Year","Ethnicity","Age group","%","Ethnicity","Age group","%","Ethnicity","Age group","%"
"2012"," White"," Juveniles","3.3"," White"," Juveniles","65.3"," White"," Juveniles","31.3"
"2012"," White"," Juveniles","3.3"," White"," Juveniles","65.3"," White"," Juveniles","31.3"
"2012"," White"," Juveniles","3.3"," White"," Juveniles","65.3"," White"," Juveniles","31.3"
"2012"," White"," Juveniles","3.3"," White"," Juveniles","65.3"," White"," Juveniles","31.3"
"2012"," White"," Juveniles","3.3"," White"," Juveniles","65.3"," White"," Juveniles","31.3"
"2012"," White"," Juveniles","3.3"," White"," Juveniles","65.3"," White"," Juveniles","31.3"
"2012"," White"," Juveniles","3.3"," White"," Juveniles","65.3"," White"," Juveniles","31.3"
"2012"," White"," Juveniles","3.3"," White"," Juveniles","65.3"," White"," Juveniles","31.3"
"2012"," White"," Juveniles","3.3"," White"," Juveniles","65.3"," White"," Juveniles","31.3"
"2012"," White"," Juveniles","3.3"," White"," Juveniles","65.3"," White"," Juveniles","31.3"
"2012"," White"," Juveniles","3.3"," White"," Juveniles","65.3"," White"," Juveniles","31.3"
"2012"," White"," Juveniles","3.3"," White"," Juveniles","65.3"," White"," Juveniles","31.3"
"2012"," White"," Juveniles","3.3"," White"," Juveniles","65.3"," White"," Juveniles","31.3"
"2012"," White"," Juveniles","3.3"," White"," Juveniles","65.3"," White"," Juveniles","31.3"
"2012"," White"," Juveniles","3.3"," White"," Juveniles","65.3"," White"," Juveniles","31.3"
"2012"," White"," Juveniles","3.3"," White"," Juveniles","65.3"," White"," Juveniles","31.3"
"2012"," White"," Juveniles","3.3"," White"," Juveniles","65.3"," White"," Juveniles","31.3"
"2012"," White"," Juveniles","3.3"," White"," Juveniles","65.3"," White"," Juveniles","31.3"
"2013"," White"," Juveniles","6.4"," White"," Juveniles","60.1"," White"," Juveniles","33.5"
"2013"," White"," Juveniles","6.4"," White"," Juveniles","60.1"," White"," Juveniles","33.5"
"2013"," White"," Juveniles","6.4"," White"," Juveniles","60.1"," White"," Juveniles","33.5"
"2013"," White"," Juveniles","6.4"," White"," Juveniles","60.1"," White"," Juveniles","33.5"
"2013"," White"," Juveniles","6.4"," White"," Juveniles","60.1"," White"," Juveniles","33.5"
"2013"," White"," Juveniles","6.4"," White"," Juveniles","60.1"," White"," Juveniles","33.5"
"2013"," White"," Juveniles","6.4"," White"," Juveniles","60.1"," White"," Juveniles","33.5"
"2013"," White"," Juveniles","6.4"," White"," Juveniles","60.1"," White"," Juveniles","33.5"
"2013"," White"," Juveniles","6.4"," White"," Juveniles","60.1"," White"," Juveniles","33.5"
"2013"," White"," Juveniles","6.4"," White"," Juveniles","60.1"," White"," Juveniles","33.5"
"2013"," White"," Juveniles","6.4"," White"," Juveniles","60.1"," White"," Juveniles","33.5"
"2013"," White"," Juveniles","6.4"," White"," Juveniles","60.1"," White"," Juveniles","33.5"
"2013"," White"," Juveniles","6.4"," White"," Juveniles","60.1"," White"," Juveniles","33.5"
"2013"," White"," Juveniles","6.4"," White"," Juveniles","60.1"," White"," Juveniles","33.5"
"2013"," White"," Juveniles","6.4"," White"," Juveniles","60.1"," White"," Juveniles","33.5"
