"Title","Remand status at Crown Court by ethnicity and gender"
"Location","England and Wales"
"Time period","2012 to 2016"
"Data source","Criminal Justice Statistics"
"Data source link","https://www.gov.uk/government/statistics/criminal-justice-system-statistics-quarterly-september-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","2014"

"","Year","Ethnicity","Gender","%"
"Not remanded","2012"," White","Male","17.7"
"Not remanded","2012"," Black","Male","10.8"
"Not remanded","2012"," Asian","Male","10.0"
"Not remanded","2012"," Mixed","Male","14.7"
"Not remanded","2012"," Chinese or other","Male","14.8"
"Not remanded","2012"," Not stated","Male","18.4"
"Not remanded","2012"," White","Female","14.6"
"Not remanded","2012"," Black","Female","12.0"
"Not remanded","2012"," Asian","Female","7.5"
"Not remanded","2012"," Mixed","Female","13.3"
"Not remanded","2012"," Chinese or other","Female","10.2"
"Not remanded","2012"," Not stated","Female","20.0"
"Not remanded","2013"," White","Male","18.3"
"Not remanded","2013"," Black","Male","11.7"
"Not remanded","2013"," Asian","Male","10.2"
"Not remanded","2013"," Mixed","Male","14.8"
"Not remanded","2013"," Chinese or other","Male","13.5"
"Not remanded","2013"," Not stated","Male","17.0"
"Not remanded","2013"," White","Female","15.6"
"Not remanded","2013"," Black","Female","8.3"
"Not remanded","2013"," Asian","Female","8.8"
"Not remanded","2013"," Mixed","Female","12.1"
"Not remanded","2013"," Chinese or other","Female","8.9"
"Not remanded","2013"," Not stated","Female","18.7"
"Not remanded","2014"," White","Male","15.7"
"Not remanded","2014"," Black","Male","9.8"
"Not remanded","2014"," Asian","Male","9.4"
"Not remanded","2014"," Mixed","Male","13.4"
"Not remanded","2014"," Chinese or other","Male","10.6"
"Not remanded","2014"," Not stated","Male","16.4"
"Not remanded","2014"," White","Female","13.3"
"Not remanded","2014"," Black","Female","8.4"
"Not remanded","2014"," Asian","Female","6.7"
"Not remanded","2014"," Mixed","Female","12.8"
"Not remanded","2014"," Chinese or other","Female","14.4"
"Not remanded","2014"," Not stated","Female","16.8"
"Not remanded","2015"," White","Male","14.4"
"Not remanded","2015"," Black","Male","10.3"
"Not remanded","2015"," Asian","Male","9.0"
"Not remanded","2015"," Mixed","Male","11.7"
"Not remanded","2015"," Chinese or other","Male","10.0"
"Not remanded","2015"," Not stated","Male","16.1"
"Not remanded","2015"," White","Female","12.7"
"Not remanded","2015"," Black","Female","7.5"
"Not remanded","2015"," Asian","Female","4.4"
"Not remanded","2015"," Mixed","Female","10.0"
"Not remanded","2015"," Chinese or other","Female","13.8"
"Not remanded","2015"," Not stated","Female","14.2"
"Not remanded","2016"," White","Male","17.9"
"Not remanded","2016"," Black","Male","13.0"
"Not remanded","2016"," Asian","Male","11.8"
"Not remanded","2016"," Mixed","Male","16.7"
"Not remanded","2016"," Chinese or other","Male","11.6"
"Not remanded","2016"," Not stated","Male","17.6"
"Not remanded","2016"," White","Female","14.8"
"Not remanded","2016"," Black","Female","10.5"
"Not remanded","2016"," Asian","Female","6.1"
"Not remanded","2016"," Mixed","Female","9.4"
"Not remanded","2016"," Chinese or other","Female","9.2"
"Not remanded","2016"," Not stated","Female","15.3"
"Bail","2012"," White","Male","47.5"
"Bail","2012"," Black","Male","42.0"
"Bail","2012"," Asian","Male","54.5"
"Bail","2012"," Mixed","Male","41.3"
"Bail","2012"," Chinese or other","Male","39.0"
"Bail","2012"," Not stated","Male","45.9"
"Bail","2012"," White","Female","65.6"
"Bail","2012"," Black","Female","62.4"
"Bail","2012"," Asian","Female","73.2"
"Bail","2012"," Mixed","Female","64.4"
"Bail","2012"," Chinese or other","Female","57.8"
"Bail","2012"," Not stated","Female","67.5"
"Bail","2013"," White","Male","45.3"
"Bail","2013"," Black","Male","40.7"
"Bail","2013"," Asian","Male","54.1"
"Bail","2013"," Mixed","Male","40.1"
"Bail","2013"," Chinese or other","Male","38.0"
"Bail","2013"," Not stated","Male","45.6"
"Bail","2013"," White","Female","64.5"
"Bail","2013"," Black","Female","64.6"
"Bail","2013"," Asian","Female","72.9"
"Bail","2013"," Mixed","Female","64.3"
"Bail","2013"," Chinese or other","Female","60.1"
"Bail","2013"," Not stated","Female","67.2"
"Bail","2014"," White","Male","45.9"
"Bail","2014"," Black","Male","41.8"
"Bail","2014"," Asian","Male","52.8"
"Bail","2014"," Mixed","Male","39.7"
"Bail","2014"," Chinese or other","Male","42.8"
"Bail","2014"," Not stated","Male","46.5"
"Bail","2014"," White","Female","63.2"
"Bail","2014"," Black","Female","61.0"
"Bail","2014"," Asian","Female","72.6"
"Bail","2014"," Mixed","Female","63.0"
"Bail","2014"," Chinese or other","Female","58.3"
"Bail","2014"," Not stated","Female","70.3"
"Bail","2015"," White","Male","47.2"
"Bail","2015"," Black","Male","41.9"
"Bail","2015"," Asian","Male","53.3"
"Bail","2015"," Mixed","Male","43.1"
"Bail","2015"," Chinese or other","Male","43.8"
"Bail","2015"," Not stated","Male","48.1"
"Bail","2015"," White","Female","66.3"
"Bail","2015"," Black","Female","68.3"
"Bail","2015"," Asian","Female","75.3"
"Bail","2015"," Mixed","Female","68.4"
"Bail","2015"," Chinese or other","Female","60.2"
"Bail","2015"," Not stated","Female","71.3"
"Bail","2016"," White","Male","45.8"
"Bail","2016"," Black","Male","42.6"
"Bail","2016"," Asian","Male","51.2"
"Bail","2016"," Mixed","Male","40.5"
"Bail","2016"," Chinese or other","Male","47.9"
"Bail","2016"," Not stated","Male","47.4"
"Bail","2016"," White","Female","63.1"
"Bail","2016"," Black","Female","66.5"
"Bail","2016"," Asian","Female","70.6"
"Bail","2016"," Mixed","Female","65.7"
"Bail","2016"," Chinese or other","Female","64.7"
"Bail","2016"," Not stated","Female","69.7"
"Custody","2012"," White","Male","34.8"
"Custody","2012"," Black","Male","47.2"
"Custody","2012"," Asian","Male","35.6"
"Custody","2012"," Mixed","Male","44.0"
"Custody","2012"," Chinese or other","Male","46.2"
"Custody","2012"," Not stated","Male","35.7"
"Custody","2012"," White","Female","19.8"
"Custody","2012"," Black","Female","25.6"
"Custody","2012"," Asian","Female","19.2"
"Custody","2012"," Mixed","Female","22.2"
"Custody","2012"," Chinese or other","Female","32.0"
"Custody","2012"," Not stated","Female","12.5"
"Custody","2013"," White","Male","36.4"
"Custody","2013"," Black","Male","47.6"
"Custody","2013"," Asian","Male","35.6"
"Custody","2013"," Mixed","Male","45.0"
"Custody","2013"," Chinese or other","Male","48.6"
"Custody","2013"," Not stated","Male","37.4"
"Custody","2013"," White","Female","20.0"
"Custody","2013"," Black","Female","27.1"
"Custody","2013"," Asian","Female","18.2"
"Custody","2013"," Mixed","Female","23.5"
"Custody","2013"," Chinese or other","Female","31.0"
"Custody","2013"," Not stated","Female","14.1"
"Custody","2014"," White","Male","38.4"
"Custody","2014"," Black","Male","48.4"
"Custody","2014"," Asian","Male","37.8"
"Custody","2014"," Mixed","Male","47.0"
"Custody","2014"," Chinese or other","Male","46.6"
"Custody","2014"," Not stated","Male","37.1"
"Custody","2014"," White","Female","23.6"
"Custody","2014"," Black","Female","30.6"
"Custody","2014"," Asian","Female","20.7"
"Custody","2014"," Mixed","Female","24.2"
"Custody","2014"," Chinese or other","Female","27.3"
"Custody","2014"," Not stated","Female","12.9"
"Custody","2015"," White","Male","38.4"
"Custody","2015"," Black","Male","47.7"
"Custody","2015"," Asian","Male","37.7"
"Custody","2015"," Mixed","Male","45.3"
"Custody","2015"," Chinese or other","Male","46.2"
"Custody","2015"," Not stated","Male","35.8"
"Custody","2015"," White","Female","21.0"
"Custody","2015"," Black","Female","24.2"
"Custody","2015"," Asian","Female","20.3"
"Custody","2015"," Mixed","Female","21.6"
"Custody","2015"," Chinese or other","Female","26.0"
"Custody","2015"," Not stated","Female","14.5"
"Custody","2016"," White","Male","36.3"
"Custody","2016"," Black","Male","44.4"
"Custody","2016"," Asian","Male","37.0"
"Custody","2016"," Mixed","Male","42.9"
"Custody","2016"," Chinese or other","Male","40.5"
"Custody","2016"," Not stated","Male","35.0"
"Custody","2016"," White","Female","22.1"
"Custody","2016"," Black","Female","23.0"
"Custody","2016"," Asian","Female","23.2"
"Custody","2016"," Mixed","Female","24.9"
"Custody","2016"," Chinese or other","Female","26.1"
"Custody","2016"," Not stated","Female","15.1"
