"remandstatus","Ethnicity","%","Number"
"Bail","Asian","50.1","2,839"
"Bail","Black","42.3","3,559"
"Bail","Mixed","41.0","883"
"Bail","White","44.1","23,130"
"Bail","Other inc Chinese","44.7","514"
"Custody","Asian","36.2","2,054"
"Custody","Black","42.6","3,586"
"Custody","Mixed","43.5","937"
"Custody","White","35.8","18,780"
"Custody","Other inc Chinese","40.4","465"
"Not remanded","Asian","13.7","779"
"Not remanded","Black","15.0","1,265"
"Not remanded","Mixed","15.5","334"
"Not remanded","White","20.1","10,569"
"Not remanded","Other inc Chinese","14.9","172"
