"Title","Custody rate by ethnicity over time"
"Location","England and Wales"
"Time period","2009 to 2017"
"Data source","Criminal justice statistics"
"Data source link","https://www.gov.uk/government/collections/criminal-justice-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","May"

"","Asian","","","Black","","","Mixed","","","White","","","Other inc Chinese","",""
"Year","Custody Rate","Number sentenced to custody","All sentenced","Custody Rate","Number sentenced to custody","All sentenced","Custody Rate","Number sentenced to custody","All sentenced","Custody Rate","Number sentenced to custody","All sentenced","Custody Rate","Number sentenced to custody","All sentenced"
"2009","29.0","3,946","13,615","29.1","6,800","23,362","23.2","1,869","8,055","22.2","50,933","229,047","40.0","1,506","3,769"
"2010","29.4","4,609","15,658","28.4","7,436","26,224","23.0","2,191","9,516","22.9","58,836","256,731","39.0","1,671","4,290"
"2011","31.1","4,892","15,713","30.4","8,034","26,466","26.6","2,563","9,649","24.9","63,032","252,664","38.3","1,518","3,968"
"2012","32.1","4,438","13,846","31.3","7,184","22,986","27.6","2,321","8,416","25.6","57,254","223,867","39.7","1,388","3,496"
"2013","31.0","4,066","13,118","29.4","6,383","21,698","27.9","2,198","7,869","26.3","55,470","210,712","37.6","1,291","3,429"
"2014","31.9","3,945","12,368","29.8","6,146","20,618","27.8","2,006","7,205","27.1","54,246","199,898","36.0","1,042","2,891"
"2015","33.5","3,982","11,875","30.7","6,027","19,662","28.4","1,990","7,012","28.5","51,738","181,268","35.3","1,017","2,883"
"2016","34.6","4,038","11,682","31.3","6,223","19,858","31.6","1,917","6,074","31.0","48,897","157,550","33.4","827","2,479"
"2017","35.7","3,758","10,513","33.1","6,001","18,142","32.3","1,704","5,270","32.8","45,505","138,834","35.0","776","2,220"
