"Title","Sentences and custody"
"Location","England and Wales"
"Time period","2009 to 2016"
"Data source","Ministry of Justice"
"Data source link","https://www.gov.uk/government/collections/criminal-justice-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","18/05/17"
"Measure","Time","Time_type","Ethnicity","Outcome","Number sentenced","Denominator","Value"
"Sentencing outcomes by ethnicity","2016","Year","White","Immediate custody","48902","157600","31%"
"Sentencing outcomes by ethnicity","2016","Year","Black","Immediate custody","6223","19861","31%"
"Sentencing outcomes by ethnicity","2016","Year","Asian","Immediate custody","4039","11685","35%"
"Sentencing outcomes by ethnicity","2016","Year","Mixed","Immediate custody","1917","6076","32%"
"Sentencing outcomes by ethnicity","2016","Year","Chinese and other","Immediate custody","827","2479","33%"
"Sentencing outcomes by ethnicity","2016","Year","Not stated","Immediate custody","12042","44876","27%"
"Sentencing outcomes by ethnicity","2016","Year","All","Immediate custody","73950","242577","30%"
"Sentencing outcomes by ethnicity","2016","Year","White","Suspended sentence","26709","157600","17%"
"Sentencing outcomes by ethnicity","2016","Year","Black","Suspended sentence","2760","19861","14%"
"Sentencing outcomes by ethnicity","2016","Year","Asian","Suspended sentence","1924","11685","16%"
"Sentencing outcomes by ethnicity","2016","Year","Mixed","Suspended sentence","888","6076","15%"
"Sentencing outcomes by ethnicity","2016","Year","Chinese and other","Suspended sentence","428","2479","17%"
"Sentencing outcomes by ethnicity","2016","Year","Not stated","Suspended sentence","7350","44876","16%"
"Sentencing outcomes by ethnicity","2016","Year","All","Suspended sentence","40059","242577","17%"
"Sentencing outcomes by ethnicity","2016","Year","White","Community sentence","32204","157600","20%"
"Sentencing outcomes by ethnicity","2016","Year","Black","Community sentence","4096","19861","21%"
"Sentencing outcomes by ethnicity","2016","Year","Asian","Community sentence","2315","11685","20%"
"Sentencing outcomes by ethnicity","2016","Year","Mixed","Community sentence","1377","6076","23%"
"Sentencing outcomes by ethnicity","2016","Year","Chinese and other","Community sentence","449","2479","18%"
"Sentencing outcomes by ethnicity","2016","Year","Not stated","Community sentence","9377","44876","21%"
"Sentencing outcomes by ethnicity","2016","Year","All","Community sentence","49818","242577","21%"
"Sentencing outcomes by ethnicity","2016","Year","White","Fine","25493","157600","16%"
"Sentencing outcomes by ethnicity","2016","Year","Black","Fine","4369","19861","22%"
"Sentencing outcomes by ethnicity","2016","Year","Asian","Fine","2204","11685","19%"
"Sentencing outcomes by ethnicity","2016","Year","Mixed","Fine","1118","6076","18%"
"Sentencing outcomes by ethnicity","2016","Year","Chinese and other","Fine","480","2479","19%"
"Sentencing outcomes by ethnicity","2016","Year","Not stated","Fine","8914","44876","20%"
"Sentencing outcomes by ethnicity","2016","Year","All","Fine","42578","242577","18%"
"Sentencing outcomes by ethnicity","2016","Year","White","Absolute discharge","697","157600","0%"
"Sentencing outcomes by ethnicity","2016","Year","Black","Absolute discharge","53","19861","0%"
"Sentencing outcomes by ethnicity","2016","Year","Asian","Absolute discharge","28","11685","0%"
"Sentencing outcomes by ethnicity","2016","Year","Mixed","Absolute discharge","11","6076","0%"
"Sentencing outcomes by ethnicity","2016","Year","Chinese and other","Absolute discharge","7","2479","0%"
"Sentencing outcomes by ethnicity","2016","Year","Not stated","Absolute discharge","183","44876","0%"
"Sentencing outcomes by ethnicity","2016","Year","All","Absolute discharge","979","242577","0%"
"Sentencing outcomes by ethnicity","2016","Year","White","Conditional discharge","17136","157600","11%"
"Sentencing outcomes by ethnicity","2016","Year","Black","Conditional discharge","1793","19861","9%"
"Sentencing outcomes by ethnicity","2016","Year","Asian","Conditional discharge","830","11685","7%"
"Sentencing outcomes by ethnicity","2016","Year","Mixed","Conditional discharge","565","6076","9%"
"Sentencing outcomes by ethnicity","2016","Year","Chinese and other","Conditional discharge","211","2479","9%"
"Sentencing outcomes by ethnicity","2016","Year","Not stated","Conditional discharge","5147","44876","11%"
"Sentencing outcomes by ethnicity","2016","Year","All","Conditional discharge","25682","242577","11%"
"Sentencing outcomes by ethnicity","2016","Year","White","Compensation","1216","157600","1%"
"Sentencing outcomes by ethnicity","2016","Year","Black","Compensation","41","19861","0%"
"Sentencing outcomes by ethnicity","2016","Year","Asian","Compensation","32","11685","0%"
"Sentencing outcomes by ethnicity","2016","Year","Mixed","Compensation","31","6076","1%"
"Sentencing outcomes by ethnicity","2016","Year","Chinese and other","Compensation","2","2479","0%"
"Sentencing outcomes by ethnicity","2016","Year","Not stated","Compensation","438","44876","1%"
"Sentencing outcomes by ethnicity","2016","Year","All","Compensation","1760","242577","1%"
"Sentencing outcomes by ethnicity","2016","Year","White","Otherwise dealt with","5243","157600","3%"
"Sentencing outcomes by ethnicity","2016","Year","Black","Otherwise dealt with","526","19861","3%"
"Sentencing outcomes by ethnicity","2016","Year","Asian","Otherwise dealt with","313","11685","3%"
"Sentencing outcomes by ethnicity","2016","Year","Mixed","Otherwise dealt with","169","6076","3%"
"Sentencing outcomes by ethnicity","2016","Year","Chinese and other","Otherwise dealt with","75","2479","3%"
"Sentencing outcomes by ethnicity","2016","Year","Not stated","Otherwise dealt with","1425","44876","3%"
"Sentencing outcomes by ethnicity","2016","Year","All","Otherwise dealt with","7751","242577","3%"
