"Title","Young people in custody"
"Location","England and Wales"
"Time period","2005/06 to 2015/16"
"Data source","Ministry of Justice"
"Data source link","https://www.gov.uk/government/collections/youth-justice-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","2018-03-02"
"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Legal Basis for Detention","Offence Group","Value","Numerator"
"Percentage of average Youth Custody population","2005/06","Financial Year","Asian and Other","White/Black/Mixed/Asian and Other/Not known","All","All","5.2","147"
"Percentage of average Youth Custody population","2006/07","Financial Year","Asian and Other","White/Black/Mixed/Asian and Other/Not known","All","All","5.3","154"
"Percentage of average Youth Custody population","2007/08","Financial Year","Asian and Other","White/Black/Mixed/Asian and Other/Not known","All","All","4.1","119"
"Percentage of average Youth Custody population","2008/09","Financial Year","Asian and Other","White/Black/Mixed/Asian and Other/Not known","All","All","4.9","142"
"Percentage of average Youth Custody population","2009/10","Financial Year","Asian and Other","White/Black/Mixed/Asian and Other/Not known","All","All","6","146"
"Percentage of average Youth Custody population","2010/11","Financial Year","Asian and Other","White/Black/Mixed/Asian and Other/Not known","All","All","6.5","133"
"Percentage of average Youth Custody population","2011/12","Financial Year","Asian and Other","White/Black/Mixed/Asian and Other/Not known","All","All","6.8","134"
"Percentage of average Youth Custody population","2012/13","Financial Year","Asian and Other","White/Black/Mixed/Asian and Other/Not known","All","All","7.6","118"
"Percentage of average Youth Custody population","2013/14","Financial Year","Asian and Other","White/Black/Mixed/Asian and Other/Not known","All","All","8.3","101"
"Percentage of average Youth Custody population","2014/15","Financial Year","Asian and Other","White/Black/Mixed/Asian and Other/Not known","All","All","8.7","90"
"Percentage of average Youth Custody population","2015/16","Financial Year","Asian and Other","White/Black/Mixed/Asian and Other/Not known","All","All","10.4","100"
"Percentage of average Youth Custody population","2005/06","Financial Year","Ethnic minorities","White/Ethnic minorities","All","All","24.8","701"
"Percentage of average Youth Custody population","2006/07","Financial Year","Ethnic minorities","White/Ethnic minorities","All","All","25.8","751"
"Percentage of average Youth Custody population","2007/08","Financial Year","Ethnic minorities","White/Ethnic minorities","All","All","24.7","725"
"Percentage of average Youth Custody population","2008/09","Financial Year","Ethnic minorities","White/Ethnic minorities","All","All","25.4","731"
"Percentage of average Youth Custody population","2009/10","Financial Year","Ethnic minorities","White/Ethnic minorities","All","All","27","654"
"Percentage of average Youth Custody population","2010/11","Financial Year","Ethnic minorities","White/Ethnic minorities","All","All","29.7","606"
"Percentage of average Youth Custody population","2011/12","Financial Year","Ethnic minorities","White/Ethnic minorities","All","All","28.6","561"
"Percentage of average Youth Custody population","2012/13","Financial Year","Ethnic minorities","White/Ethnic minorities","All","All","37.4","578"
"Percentage of average Youth Custody population","2013/14","Financial Year","Ethnic minorities","White/Ethnic minorities","All","All","39.9","485"
"Percentage of average Youth Custody population","2014/15","Financial Year","Ethnic minorities","White/Ethnic minorities","All","All","39.4","409"
"Percentage of average Youth Custody population","2015/16","Financial Year","Ethnic minorities","White/Ethnic minorities","All","All","41.5","398"
"Percentage of average Youth Custody population","2005/06","Financial Year","Black","White/Black/Mixed/Asian and Other/Not known","All","All","12.5","355"
"Percentage of average Youth Custody population","2006/07","Financial Year","Black","White/Black/Mixed/Asian and Other/Not known","All","All","13.4","390"
"Percentage of average Youth Custody population","2007/08","Financial Year","Black","White/Black/Mixed/Asian and Other/Not known","All","All","13.6","399"
