"Legal Basis for Detention","Year","% White","% Other"
"Remand","2010/11","21.8","32.6"
"Remand","2011/12","21.4","28.5"
"Remand","2012/13","18.2","26.6"
"Remand","2013/14","18.2","26.0"
"Remand","2014/15","18.5","30.1"
"Remand","2015/16","19.2","26.1"
"Remand","2016/17","17.7","25.2"
"DTO","2010/11","61.7","42.6"
"DTO","2011/12","63.7","49.3"
"DTO","2012/13","64.5","48.2"
"DTO","2013/14","64.1","46.0"
"DTO","2014/15","59.6","44.2"
"DTO","2015/16","58.1","43.5"
"DTO","2016/17","55.5","41.9"
"Section 91","2010/11","12.9","19.0"
"Section 91","2011/12","11.5","17.9"
"Section 91","2012/13","14.2","21.7"
"Section 91","2013/14","14.5","24.4"
"Section 91","2014/15","18.0","21.6"
"Section 91","2015/16","18.9","24.9"
"Section 91","2016/17","22.2","26.6"
"Other Sentences","2010/11","3.6","5.9"
"Other Sentences","2011/12","3.4","4.4"
"Other Sentences","2012/13","3.1","3.5"
"Other Sentences","2013/14","3.2","3.5"
"Other Sentences","2014/15","4.0","4.1"
"Other Sentences","2015/16","3.8","5.5"
"Other Sentences","2016/17","4.6","6.3"
