"Title","Average number of reoffences per offender, by ethnicity and age"
"Location","England and Wales"
"Time period","Year ending June 2015"
"Data source","NOMS Offender Equalities Statistics Bulletin - supplementary table 15.2"
"Data source link","https://www.gov.uk/government/statistics/noms-annual-offender-equalities-report-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","24 November 2016"

"Age Range","Ethnicity","Average number of reoffences","Number of reoffenders","Number of reoffences"
"10 to 14","Asian","3.0","112","334"
"10 to 14","Black","3.4","462","1,592"
"10 to 14","White","3.7","2,671","9,897"
"10 to 14","Other","3.7","24","88"
"10 to 14","Not Recorded","2.4","65","158"
"10 to 14","All","3.6","3,334","12,069"
"15 to 17","Asian","3.2","455","1,469"
"15 to 17","Black","3.1","1,468","4,490"
"15 to 17","White","3.2","8,276","26,699"
"15 to 17","Other","2.4","78","189"
"15 to 17","Not Recorded","2.8","129","362"
"15 to 17","All","3.2","10,406","33,209"
"18 to 20","Asian","2.7","732","1,941"
"18 to 20","Black","2.7","1,830","4,936"
"18 to 20","White","3.0","11,108","32,927"
"18 to 20","Other","2.9","137","395"
"18 to 20","Not Recorded","2.4","129","308"
"18 to 20","All","2.9","13,936","40,507"
"21 to 24","Asian","2.6","979","2,502"
"21 to 24","Black","2.6","2,071","5,457"
"21 to 24","White","3.0","15,682","46,616"
"21 to 24","Other","2.5","174","439"
"21 to 24","Not Recorded","2.7","183","501"
"21 to 24","All","2.9","19,089","55,515"
"25 to 29","Asian","2.8","985","2,752"
"25 to 29","Black","2.9","1,960","5,667"
"25 to 29","White","3.3","17,866","59,660"
"25 to 29","Other","2.7","192","514"
"25 to 29","Not Recorded","2.9","176","502"
"25 to 29","All","3.3","21,179","69,095"
"30 to 34","Asian","3.3","866","2,866"
"30 to 34","Black","3.3","1,462","4,839"
"30 to 34","White","3.7","14,743","54,216"
"30 to 34","Other","2.8","156","437"
"30 to 34","Not Recorded","2.6","164","431"
"30 to 34","All","3.6","17,391","62,789"
"35 to 39","Asian","3.1","616","1,927"
"35 to 39","Black","3.4","970","3,309"
"35 to 39","White","3.6","11,177","40,211"
"35 to 39","Other","2.7","119","322"
"35 to 39","Not Recorded","2.7","96","256"
"35 to 39","All","3.5","12,978","46,025"
"40 to 44","Asian","3.0","378","1,129"
"40 to 44","Black","3.4","707","2,419"
"40 to 44","White","3.3","8,538","28,442"
"40 to 44","Other","2.8","68","191"
"40 to 44","Not Recorded","2.6","65","167"
"40 to 44","All","3.3","9,756","32,348"
"45 to 49","Asian","2.7","196","535"
"45 to 49","Black","3.3","625","2,045"
"45 to 49","White","3.1","5,622","17,461"
"45 to 49","Other","2.8","48","136"
"45 to 49","Not Recorded","2.4","52","124"
"45 to 49","All","3.1","6,543","20,301"
"50+","Asian","2.7","179","492"
"50+","Black","3.2","620","1,998"
"50+","White","3.0","5,251","15,528"
"50+","Other","2.5","46","117"
"50+","Not Recorded","3.2","63","199"
"50+","All","3.0","6,159","18,334"
