"Title","Fear of crime by ethnicity and gender"
"Location","England and Wales"
"Time period","2013/14, 2014/15 and 2015/16 (3 years combined)"
"Data source","Crime Survey for England and Wales"
"Data source link","https://www.ons.gov.uk/peoplepopulationandcommunity/crimeandjustice/datasets/crimeinenglandandwalesannualtrendanddemographictables"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated",""

"Gender","Ethnicity","%","Number"
"All","Asian","29"," 5,056 "
"All","Black","26"," 2,647 "
"All","Mixed","23","991"
"All","White","18"," 92,447 "
"All","Other","26","687"
"Male ","Asian","28"," 2,528 "
"Male ","Black","23"," 1,118 "
"Male ","Mixed","23","411"
"Male ","White","18"," 42,015 "
"Male ","Other","26","360"
"Female","Asian","30"," 2,528 "
"Female","Black","28"," 1,529 "
"Female","Mixed","23","580"
"Female","White","18"," 50,432 "
"Female","Other","27","327"
