"Title","Percentage of offenders who reoffend by ethnicity and age"
"Location","England and Wales"
"Time period","Year ending June 2015"
"Data source","NOMS Offender Equalities Statistics Bulletin"
"Data source link","https://www.gov.uk/government/statistics/noms-annual-offender-equalities-report-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","24 November 2016"

"Ethnic Group","Age Range","%","Reoffenders"
"Asian","10 to 14","35.1","112"
"Asian","15 to 17","32.0","455"
"Asian","18 to 20","26.7","732"
"Asian","21 to 24","23.3","979"
"Asian","25 to 29","19.9","985"
"Asian","30 to 34","20.0","866"
"Asian","35 to 39","18.4","616"
"Asian","40 to 44","15.7","378"
"Asian","45 to 49","13.6","196"
"Asian","50+","10.8","179"
"Black","10 to 14","48.4","462"
"Black","15 to 17","44.9","1,468"
"Black","18 to 20","35.3","1,830"
"Black","21 to 24","29.2","2,071"
"Black","25 to 29","27.1","1,960"
"Black","30 to 34","26.2","1,462"
"Black","35 to 39","24.8","970"
"Black","40 to 44","23.4","707"
"Black","45 to 49","23.1","625"
"Black","50+","19.7","620"
"White","10 to 14","39.7","2,671"
"White","15 to 17","37.9","8,276"
"White","18 to 20","29.1","11,108"
"White","21 to 24","26.6","15,682"
"White","25 to 29","27.2","17,866"
"White","30 to 34","28.5","14,743"
"White","35 to 39","28.5","11,177"
"White","40 to 44","24.8","8,538"
"White","45 to 49","20.5","5,622"
"White","50+","13.4","5,251"
"Other","10 to 14","47.1","24"
"Other","15 to 17","35.9","78"
"Other","18 to 20","26.0","137"
"Other","21 to 24","20.9","174"
"Other","25 to 29","18.8","192"
"Other","30 to 34","17.0","156"
"Other","35 to 39","15.5","119"
"Other","40 to 44","11.8","68"
"Other","45 to 49","11.6","48"
"Other","50+","8.5","46"
"Not Recorded","10 to 14","13.1","65"
"Not Recorded","15 to 17","13.5","129"
"Not Recorded","18 to 20","6.4","129"
"Not Recorded","21 to 24","6.6","183"
"Not Recorded","25 to 29","6.1","176"
"Not Recorded","30 to 34","6.9","164"
"Not Recorded","35 to 39","5.5","96"
"Not Recorded","40 to 44","4.2","65"
"Not Recorded","45 to 49","3.7","52"
"Not Recorded","50+","1.9","63"
