"","Asian","Black","White","Other","Unknown"
"Year and quarter","","","","",""
"2011 Q1","2.84","3.00","3.34","2.95","2.62"
"2011 Q2","2.74","2.98","3.36","2.81","2.85"
"2011 Q3","2.77","2.94","3.35","2.66","2.83"
"2011 Q4","2.77","2.91","3.38","2.85","2.93"
"2012 Q1","2.89","2.97","3.38","2.82","2.63"
"2012 Q2","2.86","3.01","3.46","2.89","2.86"
"2012 Q3","2.92","3.08","3.48","2.98","2.38"
"2012 Q4","3.03","3.11","3.54","2.75","2.82"
"2013 Q1","3.05","3.12","3.56","2.81","2.83"
"2013 Q2","3.06","3.16","3.63","2.92","2.83"
"2013 Q3","3.11","3.16","3.60","2.91","2.70"
"2013 Q4","2.99","3.21","3.64","2.79","2.82"
"2014 Q1","3.09","3.24","3.68","2.85","3.08"
"2014 Q2","3.10","3.26","3.72","3.02","3.12"
"2014 Q3","3.05","3.27","3.72","2.91","3.12"
"2014 Q4","3.16","3.42","3.78","3.13","2.96"
"2015 Q1","3.30","3.45","3.76","3.01","2.81"
"2015 Q2","3.24","3.37","3.79","3.10","2.70"
"2015 Q3","3.33","3.42","3.81","3.08","2.74"
