"Title","Percentage of offenders who reoffended by ethnicity and age group"
"Location","England and Wales"
"Time period","October to December 2015"
"Data source","Race and the criminal justice system 2016"
"Data source link","https://www.gov.uk/government/statistics/race-and-the-criminal-justice-system-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated",""

"Age_group","Ethnicity","%","Number of reoffenders","Average number of reoffences"
"Juvenile","All","43.1","3,875","3.89"
"Juvenile","Asian","37.8","176","3.26"
"Juvenile","Black","50.6","613","3.62"
"Juvenile","White","42.3","3,062","3.99"
"Juvenile","Other","39.3","24","?"
"Adult","All","29.6","34,332","3.83"
"Adult","Asian","23.6","1,619","3.32"
"Adult","Black","32.0","3,477","3.50"
"Adult","White","29.9","28,953","3.91"
"Adult","Other","19.6","283","2.96"
