"Title","Proven reoffending"
"Location","England and Wales"
"Time period","2011 to 2015"
"Data source","Ministry of Justice"
"Data source link","https://www.gov.uk/government/statistics/race-and-the-criminal-justice-system-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","2018-04-03"
"Cohort_period","age_cat","ethnicity","offenders","reoffenders","reoffences","Reoffending rate","Average number of reoffences per reoffender"
"2011_Q1","Adult","Asian","8553","2072","5906","24.2%","2.85"
"2011_Q1","Juvenile","Asian","1029","385","1064","37.4%","2.76"
"2011_Q1","All","Asian Total","9582","2457","6970","25.6%","2.84"
"2011_Q1","Adult","Black","13038","4127","12345","31.7%","2.99"
"2011_Q1","Juvenile","Black","2610","1307","3938","50.1%","3.01"
"2011_Q1","All","Black Total","15648","5434","16283","34.7%","3.00"
"2011_Q1","Adult","Not Recorded","3979","375","966","9.4%","2.58"
"2011_Q1","Juvenile","Not Recorded","394","81","230","20.6%","2.84"
"2011_Q1","All","Not Recorded Total","4373","456","1196","10.4%","2.62"
"2011_Q1","Adult","Other","2075","399","1190","19.2%","2.98"
"2011_Q1","Juvenile","Other","205","80","224","39.0%","2.80"
"2011_Q1","All","Other Total","2280","479","1414","21.0%","2.95"
"2011_Q1","Adult","White","130646","40819","137210","31.2%","3.36"
"2011_Q1","Juvenile","White","19701","8235","26596","41.8%","3.23"
"2011_Q1","All","White Total","150347","49054","163806","32.6%","3.34"
"2011_Q2","Adult","Asian","8198","1951","5402","23.8%","2.77"
"2011_Q2","Juvenile","Asian","1102","373","972","33.8%","2.61"
"2011_Q2","All","Asian Total","9300","2324","6374","25.0%","2.74"
"2011_Q2","Adult","Black","12715","4112","12403","32.3%","3.02"
"2011_Q2","Juvenile","Black","2548","1218","3461","47.8%","2.84"
"2011_Q2","All","Black Total","15263","5330","15864","34.9%","2.98"
"2011_Q2","Adult","Not Recorded","3966","367","998","9.3%","2.72"
"2011_Q2","Juvenile","Not Recorded","455","80","278","17.6%","3.48"
"2011_Q2","All","Not Recorded Total","4421","447","1276","10.1%","2.85"
"2011_Q2","Adult","Other","1915","371","1041","19.4%","2.81"
"2011_Q2","Juvenile","Other","182","72","205","39.6%","2.85"
"2011_Q2","All","Other Total","2097","443","1246","21.1%","2.81"
"2011_Q2","Adult","White","127291","40038","135787","31.5%","3.39"
"2011_Q2","Juvenile","White","19396","7977","25566","41.1%","3.20"
"2011_Q2","All","White Total","146687","48015","161353","32.7%","3.36"
"2011_Q3","Adult","Asian","8250","1872","5200","22.7%","2.78"
"2011_Q3","Juvenile","Asian","1024","357","966","34.9%","2.71"
"2011_Q3","All","Asian Total","9274","2229","6166","24.0%","2.77"
"2011_Q3","Adult","Black","12883","4056","12043","31.5%","2.97"
"2011_Q3","Juvenile","Black","2572","1145","3273","44.5%","2.86"
"2011_Q3","All","Black Total","15455","5201","15316","33.7%","2.94"
"2011_Q3","Adult","Not Recorded","4196","340","952","8.1%","2.80"
"2011_Q3","Juvenile","Not Recorded","499","85","251","17.0%","2.95"
"2011_Q3","All","Not Recorded Total","4695","425","1203","9.1%","2.83"
"2011_Q3","Adult","Other","1770","351","937","19.8%","2.67"
"2011_Q3","Juvenile","Other","201","69","179","34.3%","2.59"
"2011_Q3","All","Other Total","1971","420","1116","21.3%","2.66"
"2011_Q3","Adult","White","130890","41312","139675","31.6%","3.38"
"2011_Q3","Juvenile","White","19201","7741","24522","40.3%","3.17"
"2011_Q3","All","White Total","150091","49053","164197","32.7%","3.35"
"2011_Q4","Adult","Asian","7939","1798","5031","22.6%","2.80"
"2011_Q4","Juvenile","Asian","820","297","768","36.2%","2.59"
"2011_Q4","All","Asian Total","8759","2095","5799","23.9%","2.77"
"2011_Q4","Adult","Black","12281","3913","11404","31.9%","2.91"
"2011_Q4","Juvenile","Black","2175","1000","2899","46.0%","2.90"
"2011_Q4","All","Black Total","14456","4913","14303","34.0%","2.91"
"2011_Q4","Adult","Not Recorded","4038","354","1040","8.8%","2.94"
"2011_Q4","Juvenile","Not Recorded","447","83","239","18.6%","2.88"
"2011_Q4","All","Not Recorded Total","4485","437","1279","9.7%","2.93"
"2011_Q4","Adult","Other","1844","341","972","18.5%","2.85"
"2011_Q4","Juvenile","Other","162","64","181","39.5%","2.83"
"2011_Q4","All","Other Total","2006","405","1153","20.2%","2.85"
"2011_Q4","Adult","White","124008","38190","130539","30.8%","3.42"
"2011_Q4","Juvenile","White","16863","6728","21411","39.9%","3.18"
"2011_Q4","All","White Total","140871","44918","151950","31.9%","3.38"
"2012_Q1","Adult","Asian","8023","1827","5376","22.8%","2.94"
"2012_Q1","Juvenile","Asian","911","310","804","34.0%","2.59"
"2012_Q1","All","Asian Total","8934","2137","6180","23.9%","2.89"
"2012_Q1","Adult","Black","12518","3921","11617","31.3%","2.96"
"2012_Q1","Juvenile","Black","2050","971","2921","47.4%","3.01"
"2012_Q1","All","Black Total","14568","4892","14538","33.6%","2.97"
"2012_Q1","Adult","Not Recorded","3936","340","879","8.6%","2.59"
"2012_Q1","Juvenile","Not Recorded","382","62","178","16.2%","2.87"
"2012_Q1","All","Not Recorded Total","4318","402","1057","9.3%","2.63"
"2012_Q1","Adult","Other","1837","355","988","19.3%","2.78"
"2012_Q1","Juvenile","Other","192","76","228","39.6%","3.00"
"2012_Q1","All","Other Total","2029","431","1216","21.2%","2.82"
"2012_Q1","Adult","White","125770","38577","131191","30.7%","3.40"
"2012_Q1","Juvenile","White","15354","6269","20469","40.8%","3.27"
"2012_Q1","All","White Total","141124","44846","151660","31.8%","3.38"
"2012_Q2","Adult","Asian","7541","1749","5075","23.2%","2.90"
"2012_Q2","Juvenile","Asian","745","267","682","35.8%","2.55"
"2012_Q2","All","Asian Total","8286","2016","5757","24.3%","2.86"
"2012_Q2","Adult","Black","11349","3624","11033","31.9%","3.04"
"2012_Q2","Juvenile","Black","1922","927","2650","48.2%","2.86"
"2012_Q2","All","Black Total","13271","4551","13683","34.3%","3.01"
"2012_Q2","Adult","Not Recorded","3783","306","853","8.1%","2.79"
"2012_Q2","Juvenile","Not Recorded","370","60","195","16.2%","3.25"
"2012_Q2","All","Not Recorded Total","4153","366","1048","8.8%","2.86"
"2012_Q2","Adult","Other","1683","323","910","19.2%","2.82"
"2012_Q2","Juvenile","Other","162","68","219","42.0%","3.22"
"2012_Q2","All","Other Total","1845","391","1129","21.2%","2.89"
"2012_Q2","Adult","White","117257","35940","125646","30.7%","3.50"
"2012_Q2","Juvenile","White","14152","5678","18415","40.1%","3.24"
"2012_Q2","All","White Total","131409","41618","144061","31.7%","3.46"
"2012_Q3","Adult","Asian","7768","1756","5156","22.6%","2.94"
"2012_Q3","Juvenile","Asian","753","246","682","32.7%","2.77"
"2012_Q3","All","Asian Total","8521","2002","5838","23.5%","2.92"
"2012_Q3","Adult","Black","11975","3796","11717","31.7%","3.09"
"2012_Q3","Juvenile","Black","1762","845","2561","48.0%","3.03"
"2012_Q3","All","Black Total","13737","4641","14278","33.8%","3.08"
"2012_Q3","Adult","Not Recorded","4100","354","826","8.6%","2.33"
"2012_Q3","Juvenile","Not Recorded","382","60","161","15.7%","2.68"
"2012_Q3","All","Not Recorded Total","4482","414","987","9.2%","2.38"
"2012_Q3","Adult","Other","1721","338","1023","19.6%","3.03"
"2012_Q3","Juvenile","Other","137","61","167","44.5%","2.74"
"2012_Q3","All","Other Total","1858","399","1190","21.5%","2.98"
"2012_Q3","Adult","White","121147","37380","131039","30.9%","3.51"
"2012_Q3","Juvenile","White","14254","5676","18884","39.8%","3.33"
"2012_Q3","All","White Total","135401","43056","149923","31.8%","3.48"
"2012_Q4","Adult","Asian","7588","1758","5349","23.2%","3.04"
"2012_Q4","Juvenile","Asian","694","259","753","37.3%","2.91"
"2012_Q4","All","Asian Total","8282","2017","6102","24.4%","3.03"
"2012_Q4","Adult","Black","11536","3680","11595","31.9%","3.15"
"2012_Q4","Juvenile","Black","1727","820","2401","47.5%","2.93"
"2012_Q4","All","Black Total","13263","4500","13996","33.9%","3.11"
"2012_Q4","Adult","Not Recorded","4027","325","873","8.1%","2.69"
"2012_Q4","Juvenile","Not Recorded","388","62","219","16.0%","3.53"
"2012_Q4","All","Not Recorded Total","4415","387","1092","8.8%","2.82"
"2012_Q4","Adult","Other","1725","328","915","19.0%","2.79"
"2012_Q4","Juvenile","Other","139","50","123","36.0%","2.46"
"2012_Q4","All","Other Total","1864","378","1038","20.3%","2.75"
"2012_Q4","Adult","White","114391","35249","125951","30.8%","3.57"
"2012_Q4","Juvenile","White","12382","5121","17145","41.4%","3.35"
"2012_Q4","All","White Total","126773","40370","143096","31.8%","3.54"
"2013_Q1","Adult","Asian","7365","1660","5092","22.5%","3.07"
"2013_Q1","Juvenile","Asian","631","245","725","38.8%","2.96"
"2013_Q1","All","Asian Total","7996","1905","5817","23.8%","3.05"
"2013_Q1","Adult","Black","11519","3684","11442","32.0%","3.11"
"2013_Q1","Juvenile","Black","1646","799","2565","48.5%","3.21"
"2013_Q1","All","Black Total","13165","4483","14007","34.1%","3.12"
"2013_Q1","Adult","Not Recorded","4046","328","912","8.1%","2.78"
"2013_Q1","Juvenile","Not Recorded","326","59","182","18.1%","3.08"
"2013_Q1","All","Not Recorded Total","4372","387","1094","8.9%","2.83"
"2013_Q1","Adult","Other","1677","368","1047","21.9%","2.85"
"2013_Q1","Juvenile","Other","136","54","137","39.7%","2.54"
"2013_Q1","All","Other Total","1813","422","1184","23.3%","2.81"
"2013_Q1","Adult","White","112282","35180","126408","31.3%","3.59"
"2013_Q1","Juvenile","White","11573","5017","16774","43.4%","3.34"
"2013_Q1","All","White Total","123855","40197","143182","32.5%","3.56"
"2013_Q2","Adult","Asian","7372","1708","5252","23.2%","3.07"
"2013_Q2","Juvenile","Asian","620","233","687","37.6%","2.95"
"2013_Q2","All","Asian Total","7992","1941","5939","24.3%","3.06"
"2013_Q2","Adult","Black","11378","3710","11703","32.6%","3.15"
"2013_Q2","Juvenile","Black","1497","724","2326","48.4%","3.21"
"2013_Q2","All","Black Total","12875","4434","14029","34.4%","3.16"
"2013_Q2","Adult","Not Recorded","3779","345","938","9.1%","2.72"
"2013_Q2","Juvenile","Not Recorded","307","56","195","18.2%","3.48"
"2013_Q2","All","Not Recorded Total","4086","401","1133","9.8%","2.83"
"2013_Q2","Adult","Other","1663","331","981","19.9%","2.96"
"2013_Q2","Juvenile","Other","122","48","124","39.3%","2.58"
"2013_Q2","All","Other Total","1785","379","1105","21.2%","2.92"
"2013_Q2","Adult","White","111288","35395","129648","31.8%","3.66"
"2013_Q2","Juvenile","White","10897","4711","16048","43.2%","3.41"
"2013_Q2","All","White Total","122185","40106","145696","32.8%","3.63"
"2013_Q3","Adult","Asian","7660","1710","5291","22.3%","3.09"
"2013_Q3","Juvenile","Asian","623","234","747","37.6%","3.19"
"2013_Q3","All","Asian Total","8283","1944","6038","23.5%","3.11"
"2013_Q3","Adult","Black","11807","3843","11951","32.5%","3.11"
"2013_Q3","Juvenile","Black","1520","765","2598","50.3%","3.40"
