"Title","Fear of crime by ethnicity and gender"
"Location","England and Wales"
"Time period","2013/14 to 2015/16 (3 years combined)"
"Data source","Crime Survey for England and Wales https://www.ons.gov.uk/peoplepopulationandcommunity/crimeandjustice/datasets/crimeinenglandandwalesannualtrendanddemographictables"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time_type","Ethnicity","Gender","Value","Unweighted base"
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","All","18"," 92,447 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","All","23"," 991 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","All","29"," 5,056 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","All","26"," 2,647 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Other","All","26"," 687 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","Male ","18"," 42,015 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","Female","18"," 50,432 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","Male ","23","411"
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","Female","23","580"
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","Male ","28"," 2,528 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","Female","30"," 2,528 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","Male ","23"," 1,118 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","Female","28"," 1,529 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Other","Male ","26","360"
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Other","Female","27","327"
