"Title","Fear of crime by ethnicity and socio-economic group"
"Location","England and Wales"
"Time period","2013/14 to 2015/16 (3 years combined) "
"Data source","Crime Survey for England and Wales https://www.ons.gov.uk/peoplepopulationandcommunity/crimeandjustice/datasets/crimeinenglandandwalesannualtrendanddemographictables"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography code","Geography_type","Gender","Age Bracket","Socio-economic classification","Household income","Value","Unweighted base"
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","Managerial and professional occupations","All","17"," 31,910 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","Intermediate occupations","All","19"," 21,907 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","Routine and manual occupations","All","19"," 32,943 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","Never worked and long-term unemployed","All","20"," 2,758 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","Full time students","All","15"," 2,442 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","Not classified","All","17"," 487 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","Managerial and professional occupations","All","21"," 332 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","Intermediate occupations","All","24"," 195 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","Routine and manual occupations","All","23"," 304 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","Never worked and long-term unemployed","All","30"," 55 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","Full time students","All","25"," 101 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","Not classified","All","?"," 4 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","Managerial and professional occupations","All","28"," 1,618 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","Intermediate occupations","All","34"," 1,035 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","Routine and manual occupations","All","30"," 1,389 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","Never worked and long-term unemployed","All","26"," 556 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","Full time students","All","23"," 418 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","Not classified","All","?"," 40 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","Managerial and professional occupations","All","26"," 778 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","Intermediate occupations","All","27"," 447 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","Routine and manual occupations","All","28"," 954 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","Never worked and long-term unemployed","All","19"," 226 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","Full time students","All","22"," 221 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","Not classified","All","?"," 21 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Other","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","Managerial and professional occupations","All","28"," 195 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Other","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","Intermediate occupations","All","25"," 124 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Other","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","Routine and manual occupations","All","23"," 167 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Other","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","Never worked and long-term unemployed","All","34"," 97 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Other","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","Full time students","All","22"," 102 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Other","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","Not classified","All","?"," 2 "
