"Title","Number of arrests by ethnicity "
"Location","England and Wales"
"Time period","2014/15 to 2015/16"
"Data source","Arrests open data https://www.gov.uk/government/collections/police-powers-and-procedures-england-and-wales"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Number of arrests","Population by ethnicity, gender, and PFA (based on 2011 Census)","Value","Proportion of arrests of this ethnicity, in this year, of this gender and in this police force area (excludes unreported)"
"Number of arrests","2014/15","Financial Year","All","All","946,759","56,075,912","16.88","100.00%"
"Number of arrests","2014/15","Financial Year","Other","ONS 2001 5+1","13,926","956,837","14.55","1.51%"
"Number of arrests","2014/15","Financial Year","Asian","ONS 2001 5+1","60,709","3,820,390","15.89","6.58%"
"Number of arrests","2014/15","Financial Year","Black","ONS 2001 5+1","83,461","1,864,890","44.75","9.04%"
"Number of arrests","2014/15","Financial Year","Mixed","ONS 2001 5+1","29,599","1,224,400","24.17","3.21%"
"Number of arrests","2014/15","Financial Year","Unreported","ONS 2001 5+1","23,936","N/A","N/A","N/A"
"Number of arrests","2014/15","Financial Year","White","ONS 2001 5+1","735,128","48,209,395","15.25","79.66%"
"Number of arrests","2015/16","Financial Year","Unreported","ONS 2001 5+1","47,107","N/A","N/A","N/A"
"Number of arrests","2015/16","Financial Year","Black","ONS 2001 5+1","82,789","1,864,890","44.39","9.75%"
"Number of arrests","2015/16","Financial Year","Mixed","ONS 2001 5+1","29,146","1,224,400","23.8","3.43%"
"Number of arrests","2015/16","Financial Year","All","All","896,209","56,075,912","15.98","100.00%"
"Number of arrests","2015/16","Financial Year","Asian","ONS 2001 5+1","59,665","3,820,390","15.62","7.03%"
"Number of arrests","2015/16","Financial Year","Other","ONS 2001 5+1","14,443","956,837","15.09","1.70%"
"Number of arrests","2015/16","Financial Year","White","ONS 2001 5+1","663,059","48,209,395","13.75","78.09%"
