"Title","Confidence in the police by ethnicity and gender"
"Location","England and Wales"
"Time period","2013/14 to 2015/16 (3 years combined)"
"Data source","Crime Survey for England and Wales https://www.ons.gov.uk/peoplepopulationandcommunity/crimeandjustice/datasets/crimeinenglandandwalesannualtrendanddemographictables"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Gender","Value","Denominator"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","Male","79","2586"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","Female","79","2615"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","All","79","5201"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","Male","69","1143"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","Female","73","1579"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","All","71","2722"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","Male","71","412"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","Female","68","587"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","All","69","999"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","Female","78","336"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","Male","78","368"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","All","78","704"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","White","ONS 5+1","Male","76","42297"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","White","ONS 5+1","Female","78","50972"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","White","ONS 5+1","All","77","93269"
