"Title","Stop and search by ethnicity"
"Location","England and Wales"
"Time period","2006/07 to 2015/16"
"Data source","Policing statistics https://www.gov.uk/government/statistics/police-powers-and-procedures-england-and-wales-year-ending-31-march-2015-data-tables"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measures","Time","Time_type","Ethnicity","Ethnicity_type"," Value  "," Total number of stop and search carried out in this year in this area (excluding cases where the ethnicity was unreported) ","Population by ethnicity","Value2"
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","White British","ONS 2001 16+1","632,236","898,357","45,134,686","14.0"
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","White Irish","ONS 2001 16+1","6,337","898,357","531,087","11.9"
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Any other White background","ONS 2001 16+1","34,349","898,357","2,543,622","13.5"
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Any other Asian","ONS 2001 16+1","17,113","898,357","835,720","20.5"
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Any other Black background","ONS 2001 16+1","28,339","898,357","280,437","101.1"
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Any other ethnic group","ONS 2001 16+1","6,966","898,357","563,696","12.4"
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Any other mixed/multiple ethnic background","ONS 2001 16+1","6,074","898,357","289,984","21.0"
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Bangladeshi","ONS 2001 16+1","11,768","898,357","447,201","26.3"
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Black African","ONS 2001 16+1","33,875","898,357","989,628","34.2"
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Black Caribbean","ONS 2001 16+1","58,457","898,357","594,825","98.3"
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Chinese","ONS 2001 16+1","2,617","898,357","393,141","6.7"
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Indian","ONS 2001 16+1","17,527","898,357","1,412,958","12.4"
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Mixed White and Asian","ONS 2001 16+1","2,389","898,357","341,727","7.0"
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Mixed White and Black African","ONS 2001 16+1","2,208","898,357","165,974","13.3"
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Mixed White and Black caribbean","ONS 2001 16+1","12,822","898,357","426,715","30.1"
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Pakistani","ONS 2001 16+1","25,280","898,357","1,124,511","22.5"
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","All","All","999,772","898,357","56,075,912","17.8"
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","White British","ONS 2001 16+1","688,248","1,019,538","45,134,686","15.3"
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","White Irish","ONS 2001 16+1","7,438","1,019,538","531,087","14.0"
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Any other White background","ONS 2001 16+1","49,958","1,019,538","2,543,622","19.6"
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Any other Asian","ONS 2001 16+1","22,403","1,019,538","835,720","26.8"
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Any other Black background","ONS 2001 16+1","35,687","1,019,538","280,437","127.3"
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Any other ethnic group","ONS 2001 16+1","10,174","1,019,538","563,696","18.1"
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Any other mixed/multiple ethnic background","ONS 2001 16+1","7,938","1,019,538","289,984","27.4"
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Bangladeshi","ONS 2001 16+1","16,317","1,019,538","447,201","36.5"
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Black African","ONS 2001 16+1","42,098","1,019,538","989,628","42.5"
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Black Caribbean","ONS 2001 16+1","67,233","1,019,538","594,825","113.0"
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Chinese","ONS 2001 16+1","3,422","1,019,538","393,141","8.7"
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Indian","ONS 2001 16+1","19,745","1,019,538","1,412,958","14.0"
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Mixed White and Asian","ONS 2001 16+1","2,711","1,019,538","341,727","7.9"
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Mixed White and Black African","ONS 2001 16+1","2,723","1,019,538","165,974","16.4"
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Mixed White and Black caribbean","ONS 2001 16+1","14,371","1,019,538","426,715","33.7"
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Pakistani","ONS 2001 16+1","29072","1,019,538","1,124,511","25.9"
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","All","All","1,095,801","1,019,538","56,075,912","19.5"
"Number of stops and searches carried out (excluding vehicle only searches)","2008/09","Financial year","White British","ONS 2001 16+1","750,005","1,226,365","45,134,686","16.6"
"Number of stops and searches carried out (excluding vehicle only searches)","2008/09","Financial year","White Irish","ONS 2001 16+1","9,387","1,226,365","531,087","17.7"
"Number of stops and searches carried out (excluding vehicle only searches)","2008/09","Financial year","Any other White background","ONS 2001 16+1","74,631","1,226,365","2,543,622","29.3"
"Number of stops and searches carried out (excluding vehicle only searches)","2008/09","Financial year","Any other Asian","ONS 2001 16+1","33,005","1,226,365","835,720","39.5"
"Number of stops and searches carried out (excluding vehicle only searches)","2008/09","Financial year","Any other Black background","ONS 2001 16+1","53,459","1,226,365","280,437","190.6"
"Number of stops and searches carried out (excluding vehicle only searches)","2008/09","Financial year","Any other ethnic group","ONS 2001 16+1","12,897","1,226,365","563,696","22.9"
"Number of stops and searches carried out (excluding vehicle only searches)","2008/09","Financial year","Any other mixed/multiple ethnic background","ONS 2001 16+1","10,847","1,226,365","289,984","37.4"
"Number of stops and searches carried out (excluding vehicle only searches)","2008/09","Financial year","Bangladeshi","ONS 2001 16+1","25,898","1,226,365","447,201","57.9"
"Number of stops and searches carried out (excluding vehicle only searches)","2008/09","Financial year","Black African","ONS 2001 16+1","67,935","1,226,365","989,628","68.7"
"Number of stops and searches carried out (excluding vehicle only searches)","2008/09","Financial year","Black Caribbean","ONS 2001 16+1","94,835","1,226,365","594,825","159.4"
"Number of stops and searches carried out (excluding vehicle only searches)","2008/09","Financial year","Chinese","ONS 2001 16+1","3,819","1,226,365","393,141","9.7"
"Number of stops and searches carried out (excluding vehicle only searches)","2008/09","Financial year","Indian","ONS 2001 16+1","26,373","1,226,365","1,412,958","18.7"
"Number of stops and searches carried out (excluding vehicle only searches)","2008/09","Financial year","Mixed White and Asian","ONS 2001 16+1","3,619","1,226,365","341,727","10.6"
"Number of stops and searches carried out (excluding vehicle only searches)","2008/09","Financial year","Mixed White and Black African","ONS 2001 16+1","3,836","1,226,365","165,974","23.1"
"Number of stops and searches carried out (excluding vehicle only searches)","2008/09","Financial year","Mixed White and Black caribbean","ONS 2001 16+1","19,478","1,226,365","426,715","45.7"
"Number of stops and searches carried out (excluding vehicle only searches)","2008/09","Financial year","Pakistani","ONS 2001 16+1","36,341","1,226,365","1,124,511","32.3"
"Number of stops and searches carried out (excluding vehicle only searches)","2008/09","Financial year","All","All","1,298,371","1,226,365","56,075,912","23.2"
"Number of stops and searches carried out (excluding vehicle only searches)","2009/10","Financial year","All","All","1,260,024","1,203,336","56,075,912","22.5"
"Number of stops and searches carried out (excluding vehicle only searches)","2010/11","Financial year","All","All","1,263,870","1,211,762","56,075,912","22.5"
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","All","All","1,171,052","1,121,123","56,075,912","20.9"
"Number of stops and searches carried out (excluding vehicle only searches)","2012/13","Financial year","All","All","999,457","954,314","56,075,912","17.8"
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","All","All","883,808","841,399","56,075,912","15.8"
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","All","All","528,847","498,721","56,075,912","9.4"
"Number of stops and searches carried out (excluding vehicle only searches)","2015/16","Financial year","All","All","378,180","344,015","56075912","6.7"
"Number of stops and searches carried out (excluding vehicle only searches)","2009/10","Financial year","White British","ONS 2001 16+1","725,624","1,203,336","45,134,686","16.1"
"Number of stops and searches carried out (excluding vehicle only searches)","2009/10","Financial year","White Irish","ONS 2001 16+1","8,763","1,203,336","531,087","16.5"
"Number of stops and searches carried out (excluding vehicle only searches)","2009/10","Financial year","Any other White background","ONS 2001 16+1","80,351","1,203,336","2,543,622","31.6"
"Number of stops and searches carried out (excluding vehicle only searches)","2009/10","Financial year","Any other Asian","ONS 2001 16+1","34,126","1,203,336","835,720","40.8"
"Number of stops and searches carried out (excluding vehicle only searches)","2009/10","Financial year","Any other Black background","ONS 2001 16+1","53,189","1,203,336","280,437","189.7"
"Number of stops and searches carried out (excluding vehicle only searches)","2009/10","Financial year","Any other ethnic group","ONS 2001 16+1","12,082","1,203,336","563,696","21.4"
"Number of stops and searches carried out (excluding vehicle only searches)","2009/10","Financial year","Any other mixed/multiple ethnic background","ONS 2001 16+1","11,388","1,203,336","289,984","39.3"
"Number of stops and searches carried out (excluding vehicle only searches)","2009/10","Financial year","Bangladeshi","ONS 2001 16+1","28,336","1,203,336","447,201","63.4"
"Number of stops and searches carried out (excluding vehicle only searches)","2009/10","Financial year","Black African","ONS 2001 16+1","65,191","1,203,336","989,628","65.9"
"Number of stops and searches carried out (excluding vehicle only searches)","2009/10","Financial year","Black Caribbean","ONS 2001 16+1","86,779","1,203,336","594,825","145.9"
"Number of stops and searches carried out (excluding vehicle only searches)","2009/10","Financial year","Chinese","ONS 2001 16+1","3,297","1,203,336","393,141","8.4"
"Number of stops and searches carried out (excluding vehicle only searches)","2009/10","Financial year","Indian","ONS 2001 16+1","27,574","1,203,336","1,412,958","19.5"
"Number of stops and searches carried out (excluding vehicle only searches)","2009/10","Financial year","Mixed White and Asian","ONS 2001 16+1","3,665","1,203,336","341,727","10.7"
"Number of stops and searches carried out (excluding vehicle only searches)","2009/10","Financial year","Mixed White and Black African","ONS 2001 16+1","4,218","1,203,336","165,974","25.4"
"Number of stops and searches carried out (excluding vehicle only searches)","2009/10","Financial year","Mixed White and Black caribbean","ONS 2001 16+1","19,945","1,203,336","426,715","46.7"
"Number of stops and searches carried out (excluding vehicle only searches)","2009/10","Financial year","Pakistani","ONS 2001 16+1","38,808","1,203,336","1,124,511","34.5"
"Number of stops and searches carried out (excluding vehicle only searches)","2010/11","Financial year","White British","ONS 2001 16+1","717,511","1,211,762","45,134,686","15.9"
"Number of stops and searches carried out (excluding vehicle only searches)","2010/11","Financial year","White Irish","ONS 2001 16+1","9,456","1,211,762","531,087","17.8"
