"Title","Confidence in the local police by ethnicity over time"
"Location","England and Wales"
"Time period","2013/14 to 2015/16"
"Data source","Crime Survey for England and Wales"
"Data source link","https://www.ons.gov.uk/peoplepopulationandcommunity/crimeandjustice"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","July 2017"

"Time","Ethnicity","%","Number"
"2013/14","All","76","35,075"
"2013/14","Asian","79","1,805"
"2013/14","Bangladeshi","71","137"
"2013/14","Chinese","77","168"
"2013/14","Indian","83","759"
"2013/14","Pakistani","72","397"
"2013/14","Asian other","82","344"
"2013/14","Black","70","946"
"2013/14","Black African","75","555"
"2013/14","Black Caribbean","62","346"
"2013/14","Black other","?","45"
"2013/14","Mixed","72","336"
"2013/14","Mixed White/Asian","75","80"
"2013/14","Mixed White/Black African","?","46"
"2013/14","Mixed White/Black Caribbean","69","118"
"2013/14","Mixed other","74","92"
"2013/14","White","76","31,725"
"2013/14","White British","75","29,836"
"2013/14","White Irish","81","319"
"2013/14","White Gypsy/Traveller","?","12"
"2013/14","White other","81","1,558"
"2013/14","Other","77","232"
"2013/14","Arab","79","88"
"2013/14","Any other","76","144"
"2014/15","All","76","33,015"
"2014/15","Asian","78","1,626"
"2014/15","Bangladeshi","82","122"
"2014/15","Chinese","77","134"
"2014/15","Indian","81","665"
"2014/15","Pakistani","71","385"
"2014/15","Asian other","81","320"
"2014/15","Black","71","894"
"2014/15","Black African","77","523"
"2014/15","Black Caribbean","60","314"
"2014/15","Black other","65","57"
"2014/15","Mixed","64","304"
"2014/15","Mixed White/Asian","73","87"
"2014/15","Mixed White/Black African","?","44"
"2014/15","Mixed White/Black Caribbean","68","98"
"2014/15","Mixed other","59","75"
"2014/15","White","76","29,917"
"2014/15","White British","75","28,209"
"2014/15","White Irish","80","295"
"2014/15","White Gypsy/Traveller","?","10"
"2014/15","White other","81","1,403"
"2014/15","Other","77","231"
"2014/15","Arab","82","82"
"2014/15","Any other","73","149"
"2015/16","All","78","34,922"
"2015/16","Asian","79","1,770"
"2015/16","Bangladeshi","77","133"
"2015/16","Chinese","80","171"
"2015/16","Indian","81","712"
"2015/16","Pakistani","75","425"
"2015/16","Asian other","84","329"
"2015/16","Black","73","882"
"2015/16","Black African","79","518"
"2015/16","Black Caribbean","62","303"
"2015/16","Black other","62","61"
"2015/16","Mixed","72","359"
"2015/16","Mixed White/Asian","76","93"
"2015/16","Mixed White/Black African","?","44"
"2015/16","Mixed White/Black Caribbean","66","132"
"2015/16","Mixed other","72","90"
"2015/16","White","79","31,627"
"2015/16","White British","78","29,685"
"2015/16","White Irish","80","286"
"2015/16","White Gypsy/Traveller","?","15"
"2015/16","White other","85","1,641"
"2015/16","Other","81","241"
"2015/16","Arab","80","86"
"2015/16","Any other","81","155"
