"Title","Arrests by ethnicity and area"
"Location","England and Wales"
"Time period","2016/2017"
"Data source","Police powers and procedures England and Wales statistics"
"Data source link","https://www.gov.uk/government/collections/police-powers-and-procedures-england-and-wales"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","08/11/2017"

"Ethnicity","Police Force Area","Rate"," Number of arrests "
"All","All","14"," 779,660 "
"All","Avon & Somerset","17"," 26,694 "
"All","Bedfordshire","13"," 8,296 "
"All","Cambridgeshire","14"," 11,022 "
"All","Cheshire","13"," 13,214 "
"All","Cleveland","22"," 12,016 "
"All","Cumbria","15"," 7,588 "
"All","Derbyshire","13"," 12,910 "
"All","Devon & Cornwall","7"," 11,881 "
"All","Dorset","12"," 8,598 "
"All","Durham","15"," 9,145 "
"All","Dyfed-Powys","9"," 4,483 "
"All","Essex","13"," 22,603 "
"All","Gloucestershire","9"," 5,094 "
"All","Greater Manchester","12"," 31,275 "
"All","Gwent","10"," 5,871 "
"All","Hampshire","8"," 15,675 "
"All","Hertfordshire","12"," 13,846 "
"All","Humberside","13"," 12,292 "
"All","Kent","15"," 26,076 "
"All","Lancashire","14"," 20,012 "
"All","Leicestershire","10"," 10,685 "
"All","Lincolnshire","13"," 9,595 "
"All","London, City of"," N/A "," 1,499 "
"All","Merseyside","18"," 24,856 "
"All","Metropolitan Police","19"," 152,192 "
"All","Norfolk","14"," 11,676 "
"All","North Wales","18"," 12,704 "
"All","North Yorkshire","13"," 10,742 "
"All","Northamptonshire","13"," 8,712 "
"All","Northumbria","15"," 21,658 "
"All","Nottinghamshire","13"," 14,531 "
"All","South Wales","19"," 24,743 "
"All","South Yorkshire","10"," 13,772 "
"All","Staffordshire","13"," 14,611 "
"All","Suffolk","9"," 6,916 "
"All","Surrey","7"," 8,264 "
"All","Sussex","11"," 17,506 "
"All","Thames Valley","15"," 34,614 "
"All","Warwickshire","11"," 5,730 "
"All","West Mercia","11"," 13,649 "
"All","West Midlands","13"," 36,257 "
"All","West Yorkshire","17"," 37,760 "
"All","Wiltshire","12"," 8,397 "
"Asian","Avon & Somerset","15","508"
"Asian","Bedfordshire","14"," 1,131 "
"Asian","Cambridgeshire","16","636"
"Asian","Cheshire","14","180"
"Asian","Cleveland","17","297"
"Asian","Cumbria","19","54"
"Asian","Derbyshire","18","681"
"Asian","Devon & Cornwall","17","193"
"Asian","Dorset","13","135"
"Asian","Durham","18","94"
"Asian","Dyfed-Powys","11","49"
"Asian","Essex","5","213"
"Asian","Gloucestershire","14","152"
"Asian","Greater Manchester","11"," 2,689 "
"Asian","Gwent","16","163"
"Asian","Hampshire","6","338"
"Asian","Hertfordshire","12","767"
"Asian","Humberside","16","201"
"Asian","Kent","14","758"
"Asian","Lancashire","11"," 1,178 "
"Asian","Leicestershire","8"," 1,276 "
"Asian","Lincolnshire","19","105"
"Asian","London, City of"," N/A ","201"
"Asian","Merseyside","18","342"
"Asian","Metropolitan Police","14"," 19,351 "
"Asian","Norfolk","5","49"
"Asian","North Wales","16","103"
"Asian","North Yorkshire","12","118"
"Asian","Northamptonshire","13","304"
"Asian","Northumbria","14","541"
"Asian","Nottinghamshire","22"," 1,071 "
"Asian","South Wales","14","492"
"Asian","South Yorkshire","11","628"
"Asian","Staffordshire","21","730"
"Asian","Suffolk","5","50"
"Asian","Surrey","10","518"
"Asian","Sussex","13","525"
"Asian","Thames Valley","18"," 3,537 "
"Asian","Warwickshire","14","311"
"Asian","West Mercia","22","476"
"Asian","West Midlands","11"," 5,294 "
"Asian","West Yorkshire","18"," 5,068 "
"Asian","Wiltshire","13","223"
"Asian","All","14"," 51,730 "
"Black","Avon & Somerset","68"," 2,095 "
"Black","Bedfordshire","35"," 1,040 "
"Black","Cambridgeshire","60","612"
"Black","Cheshire","79","258"
"Black","Cleveland","65","204"
"Black","Cumbria","104","60"
"Black","Derbyshire","41","411"
"Black","Devon & Cornwall","62","255"
"Black","Dorset","128","411"
"Black","Durham","61","65"
"Black","Dyfed-Powys","61","52"
"Black","Essex","15","518"
"Black","Gloucestershire","63","327"
"Black","Greater Manchester","26"," 1,932 "
"Black","Gwent","35","112"
"Black","Hampshire","39","674"
"Black","Hertfordshire","39"," 1,217 "
"Black","Humberside","53","239"
"Black","Kent","59"," 1,356 "
"Black","Lancashire","40","214"
"Black","Leicestershire","42"," 1,035 "
"Black","Lincolnshire","60","153"
"Black","London, City of"," N/A ","265"
"Black","Merseyside","52","763"
"Black","Metropolitan Police","39"," 41,977 "
"Black","Norfolk","26","121"
"Black","North Wales","77","116"
"Black","North Yorkshire","35","128"
