"Title","Arrests by ethnicity and gender"
"Location","England and Wales"
"Time period","2016/17"
"Data source","Police powers and procedures England and Wales statistics"
"Data source link","https://www.gov.uk/government/collections/police-powers-and-procedures-england-and-wales"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","08/11/2017"

"Gender","Ethnicity","Arrest rate per 1,000"," Number of arrests "
"Female","All","4"," 119,937 "
"Female","Asian","2"," 4,077 "
"Female","Black","8"," 8,188 "
"Female","Mixed","7"," 4,103 "
"Female","White","4"," 93,480 "
"Female","Other inc Chinese","4"," 1,801 "
"Female","Unknown"," N/A "," 8,288 "
"Male","All","24"," 659,723 "
"Male","Asian","25"," 47,653 "
"Male","Black","71"," 63,421 "
"Male","Mixed","34"," 21,093 "
"Male","White","20"," 473,753 "
"Male","Other inc Chinese","21"," 10,302 "
"Male","Unknown"," N/A "," 43,501 "
