"Title","Number of arrests by ethnicity "
"Location","England and Wales"
"Time period","2014/15 to 2015/16"
"Data source","Police powers and procedures England and Wales statistics"
"Data source link","https://www.gov.uk/government/collections/police-powers-and-procedures-england-and-wales"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated",""

"Time","Ethnicity","Rate","Arrests"
"2014/15","All","16.88","946,759"
"2014/15","Asian","15.89","60,709"
"2014/15","Black","44.75","83,461"
"2014/15","Mixed","24.17","29,599"
"2014/15","White","15.25","735,128"
"2014/15","Other","14.55","13,926"
"2014/15","Unknown","N/A","23,936"
"2015/16","All","15.98","896,209"
"2015/16","Asian","15.62","59,665"
"2015/16","Black","44.39","82,789"
"2015/16","Mixed","23.80","29,146"
"2015/16","White","13.75","663,059"
"2015/16","Other","15.09","14,443"
"2015/16","Unknown","N/A","47,107"
