"Title","Stop and search by ethnicity"
"Location","England and Wales"
"Time period","2006/07 to 2015/16"
"Data source","Policing statistics"
"Data source link","https://www.gov.uk/government/statistics/police-powers-and-procedures-england-and-wales-year-ending-31-march-2015-data-tables"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","27 October 2016"

"","2006/07","2007/08","2008/09","2009/10","2010/11","2011/12","2012/13","2013/14","2014/15","2015/16"
"Ethnicity","Rate","Rate","Rate","Rate","Rate","Rate","Rate","Rate","Rate","Rate"
"All","17.8","19.5","23.2","22.5","22.5","20.9","17.8","15.8","9.4","6.7"
"Asian","18.8","22.9","31.8","33.7","35.9","32.2","24.0","19.1","11.0","9.3"
"Bangladeshi","26.3","36.5","57.9","63.4","63.5","55.1","36.3","30.2","15.6","15.9"
"Indian","12.4","14.0","18.7","19.5","20.2","16.8","11.7","8.3","5.0","4.0"
"Pakistani","22.5","25.9","32.3","34.5","36.0","33.7","27.9","22.0","12.8","10.0"
"Any other Asian","20.5","26.8","39.5","40.8","47.4","43.9","32.8","27.3","16.0","13.7"
"Black","64.7","77.8","116.0","110.0","110.5","94.4","64.7","53.7","33.7","31.2"
"Black African","34.2","42.5","68.7","65.9","68.7","58.9","39.7","33.5","21.4","20.1"
"Black Caribbean","98.3","113.0","159.4","145.9","137.1","110.5","73.5","58.2","35.4","31.1"
"Any other Black background","101.1","127.3","190.6","189.7","201.8","185.7","134.3","115.6","73.7","70.5"
"Mixed","19.2","22.7","30.9","32.0","29.9","28.3","23.1","19.6","12.3","10.1"
"Mixed White and Asian","7.0","7.9","10.6","10.7","9.1","8.6","7.0","7.1","4.1","3.3"
"Mixed White and Black African","13.3","16.4","23.1","25.4","23.0","21.0","16.8","14.9","9.4","8.0"
"Mixed White and Black caribbean","30.1","33.7","45.7","46.7","43.3","37.9","31.2","26.5","16.4","12.8"
"Any other mixed/multiple ethnic background","21.0","27.4","37.4","39.3","38.5","41.5","34.0","27.1","17.6","15.3"
"White","14.0","15.5","17.3","16.9","16.9","16.0","14.6","13.1","7.7","4.8"
"White British","14.0","15.3","16.6","16.1","15.9","15.0","13.7","12.4","7.2","4.3"
"White Irish","11.9","14.0","17.7","16.5","17.8","17.3","15.3","13.3","7.6","6.2"
"Any other White background","13.5","19.6","29.3","31.6","34.3","34.4","30.5","26.7","16.2","13.2"
"Other","10.0","14.2","17.5","16.1","18.5","16.2","12.7","12.0","7.7","5.7"
"Other - Chinese","6.7","8.7","9.7","8.4","7.6","5.4","4.8","5.5","3.5","1.6"
"Other - Any other","12.4","18.1","22.9","21.4","26.1","23.6","18.3","16.5","10.6","8.6"
