"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography_type"," Number of stop and searches "," Total number of stop and search carried out in this year in this area (excluding cases where the ethnicity was unreported) ","Population by ethnicity","Rate per 1,000 population by ethnicity","Proportion of total stop and searches of this ethnicity in the financial year (excludes unreported)","Notes","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","White","ONS 2001 5+1","All - excluding BTP","Police Force Area"," 672,922 "," 898,357 ","48,209,395","13.96","74.9%","BTP did not provide figures for this year","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Asian","ONS 2001 5+1","All - excluding BTP","Police Force Area"," 71,688 "," 898,357 ","3,820,390","18.76","8.0%","BTP did not provide figures for this year","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Black","ONS 2001 5+1","All - excluding BTP","Police Force Area"," 120,671 "," 898,357 ","1,864,890","64.71","13.4%","BTP did not provide figures for this year","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Other","ONS 2001 5+1","All - excluding BTP","Police Force Area"," 9,583 "," 898,357 ","956,837","10.02","1.1%","BTP did not provide figures for this year","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Mixed","ONS 2001 5+1","All - excluding BTP","Police Force Area"," 23,493 "," 898,357 ","1,224,400","19.19","2.6%","BTP did not provide figures for this year","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Unreported","ONS 2001 5+1","All - excluding BTP","Police Force Area"," 101,415 "," N/A ","N/A","N/A","N/A","BTP did not provide figures for this year","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","White","ONS 2001 5+1","Avon & Somerset","Police Force Area","7,913"," 9,048 ","1,491,970","5.30","87.5%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Asian","ONS 2001 5+1","Avon & Somerset","Police Force Area","153"," 9,048 ","33,005","4.64","1.7%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Black","ONS 2001 5+1","Avon & Somerset","Police Force Area","690"," 9,048 ","30,923","22.31","7.6%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Other","ONS 2001 5+1","Avon & Somerset","Police Force Area","17"," 9,048 ","15,380","1.11","0.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Mixed","ONS 2001 5+1","Avon & Somerset","Police Force Area","275"," 9,048 ","28,277","9.73","3.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Unreported","ONS 2001 5+1","Avon & Somerset","Police Force Area","5,967"," N/A ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","White","ONS 2001 5+1","Bedfordshire","Police Force Area","2,795"," 4,251 ","476,647","5.86","65.7%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Asian","ONS 2001 5+1","Bedfordshire","Police Force Area","651"," 4,251 ","81,480","7.99","15.3%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Black","ONS 2001 5+1","Bedfordshire","Police Force Area","493"," 4,251 ","29,725","16.59","11.6%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Other","ONS 2001 5+1","Bedfordshire","Police Force Area","9"," 4,251 ","8,753","1.03","0.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Mixed","ONS 2001 5+1","Bedfordshire","Police Force Area","303"," 4,251 ","18,456","16.42","7.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Unreported","ONS 2001 5+1","Bedfordshire","Police Force Area","488"," N/A ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","White","ONS 2001 5+1","Cambridgeshire","Police Force Area","7,610"," 8,582 ","726,531","10.47","88.7%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Asian","ONS 2001 5+1","Cambridgeshire","Police Force Area","442"," 8,582 ","39,535","11.18","5.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Black","ONS 2001 5+1","Cambridgeshire","Police Force Area","303"," 8,582 ","10,174","29.78","3.5%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Other","ONS 2001 5+1","Cambridgeshire","Police Force Area","35"," 8,582 ","12,572","2.78","0.4%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Mixed","ONS 2001 5+1","Cambridgeshire","Police Force Area","192"," 8,582 ","16,029","11.98","2.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Unreported","ONS 2001 5+1","Cambridgeshire","Police Force Area","191"," N/A ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","White","ONS 2001 5+1","Cheshire","Police Force Area","6,195"," 6,385 ","995,998","6.22","97.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Asian","ONS 2001 5+1","Cheshire","Police Force Area","44"," 6,385 ","12,794","3.44","0.7%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Black","ONS 2001 5+1","Cheshire","Police Force Area","60"," 6,385 ","3,264","18.38","0.9%","","","","","",""
