"Title","Youth cautions"
"Location","England and Wales"
"Time period","2005/06 to 2015/16"
"Data source","Ministry of Justice"
"Data source link","https://www.gov.uk/government/collections/youth-justice-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","26/01/17"
"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Value"
"Number of Youth Cautions","2005/06","Financial Year","White","White/Black/Asian/Other/Unknown","England and Wales","104147"
"Number of Youth Cautions","2006/07","Financial Year","White","White/Black/Asian/Other/Unknown","England and Wales","109818"
"Number of Youth Cautions","2007/08","Financial Year","White","White/Black/Asian/Other/Unknown","England and Wales","100552"
"Number of Youth Cautions","2008/09","Financial Year","White","White/Black/Asian/Other/Unknown","England and Wales","78124"
"Number of Youth Cautions","2009/10","Financial Year","White","White/Black/Asian/Other/Unknown","England and Wales","58689"
"Number of Youth Cautions","2010/11","Financial Year","White","White/Black/Asian/Other/Unknown","England and Wales","42484"
"Number of Youth Cautions","2011/12","Financial Year","White","White/Black/Asian/Other/Unknown","England and Wales","36061"
"Number of Youth Cautions","2012/13","Financial Year","White","White/Black/Asian/Other/Unknown","England and Wales","26626"
"Number of Youth Cautions","2013/14","Financial Year","White","White/Black/Asian/Other/Unknown","England and Wales","22872"
"Number of Youth Cautions","2014/15","Financial Year","White","White/Black/Asian/Other/Unknown","England and Wales","17719"
"Number of Youth Cautions","2015/16","Financial Year","White","White/Black/Asian/Other/Unknown","England and Wales","14269"
"Number of Youth Cautions","2005/06","Financial Year","Black","White/Black/Asian/Other/Unknown","England and Wales","6820"
"Number of Youth Cautions","2006/07","Financial Year","Black","White/Black/Asian/Other/Unknown","England and Wales","7569"
"Number of Youth Cautions","2007/08","Financial Year","Black","White/Black/Asian/Other/Unknown","England and Wales","7081"
"Number of Youth Cautions","2008/09","Financial Year","Black","White/Black/Asian/Other/Unknown","England and Wales","5867"
"Number of Youth Cautions","2009/10","Financial Year","Black","White/Black/Asian/Other/Unknown","England and Wales","4484"
"Number of Youth Cautions","2010/11","Financial Year","Black","White/Black/Asian/Other/Unknown","England and Wales","3429"
"Number of Youth Cautions","2011/12","Financial Year","Black","White/Black/Asian/Other/Unknown","England and Wales","2940"
"Number of Youth Cautions","2012/13","Financial Year","Black","White/Black/Asian/Other/Unknown","England and Wales","2179"
"Number of Youth Cautions","2013/14","Financial Year","Black","White/Black/Asian/Other/Unknown","England and Wales","1930"
"Number of Youth Cautions","2014/15","Financial Year","Black","White/Black/Asian/Other/Unknown","England and Wales","1809"
"Number of Youth Cautions","2015/16","Financial Year","Black","White/Black/Asian/Other/Unknown","England and Wales","1545"
"Number of Youth Cautions","2005/06","Financial Year","Asian","White/Black/Asian/Other/Unknown","England and Wales","4216"
"Number of Youth Cautions","2006/07","Financial Year","Asian","White/Black/Asian/Other/Unknown","England and Wales","4578"
"Number of Youth Cautions","2007/08","Financial Year","Asian","White/Black/Asian/Other/Unknown","England and Wales","4314"
"Number of Youth Cautions","2008/09","Financial Year","Asian","White/Black/Asian/Other/Unknown","England and Wales","3775"
"Number of Youth Cautions","2009/10","Financial Year","Asian","White/Black/Asian/Other/Unknown","England and Wales","2812"
"Number of Youth Cautions","2010/11","Financial Year","Asian","White/Black/Asian/Other/Unknown","England and Wales","1977"
"Number of Youth Cautions","2011/12","Financial Year","Asian","White/Black/Asian/Other/Unknown","England and Wales","1649"
"Number of Youth Cautions","2012/13","Financial Year","Asian","White/Black/Asian/Other/Unknown","England and Wales","1157"
"Number of Youth Cautions","2013/14","Financial Year","Asian","White/Black/Asian/Other/Unknown","England and Wales","998"
"Number of Youth Cautions","2014/15","Financial Year","Asian","White/Black/Asian/Other/Unknown","England and Wales","866"
"Number of Youth Cautions","2015/16","Financial Year","Asian","White/Black/Asian/Other/Unknown","England and Wales","706"
"Number of Youth Cautions","2005/06","Financial Year","Other","White/Black/Asian/Other/Unknown","England and Wales","927"
"Number of Youth Cautions","2006/07","Financial Year","Other","White/Black/Asian/Other/Unknown","England and Wales","1284"
"Number of Youth Cautions","2007/08","Financial Year","Other","White/Black/Asian/Other/Unknown","England and Wales","1154"
"Number of Youth Cautions","2008/09","Financial Year","Other","White/Black/Asian/Other/Unknown","England and Wales","1040"
"Number of Youth Cautions","2009/10","Financial Year","Other","White/Black/Asian/Other/Unknown","England and Wales","839"
"Number of Youth Cautions","2010/11","Financial Year","Other","White/Black/Asian/Other/Unknown","England and Wales","593"
"Number of Youth Cautions","2011/12","Financial Year","Other","White/Black/Asian/Other/Unknown","England and Wales","315"
"Number of Youth Cautions","2012/13","Financial Year","Other","White/Black/Asian/Other/Unknown","England and Wales","233"
"Number of Youth Cautions","2013/14","Financial Year","Other","White/Black/Asian/Other/Unknown","England and Wales","190"
"Number of Youth Cautions","2014/15","Financial Year","Other","White/Black/Asian/Other/Unknown","England and Wales","137"
"Number of Youth Cautions","2015/16","Financial Year","Other","White/Black/Asian/Other/Unknown","England and Wales","93"
"Number of Youth Cautions","2005/06","Financial Year","Unknown","White/Black/Asian/Other/Unknown","England and Wales","6172"
"Number of Youth Cautions","2006/07","Financial Year","Unknown","White/Black/Asian/Other/Unknown","England and Wales","8411"
"Number of Youth Cautions","2007/08","Financial Year","Unknown","White/Black/Asian/Other/Unknown","England and Wales","7157"
"Number of Youth Cautions","2008/09","Financial Year","Unknown","White/Black/Asian/Other/Unknown","England and Wales","4850"
"Number of Youth Cautions","2009/10","Financial Year","Unknown","White/Black/Asian/Other/Unknown","England and Wales","3910"
"Number of Youth Cautions","2010/11","Financial Year","Unknown","White/Black/Asian/Other/Unknown","England and Wales","2131"
"Number of Youth Cautions","2011/12","Financial Year","Unknown","White/Black/Asian/Other/Unknown","England and Wales","1248"
"Number of Youth Cautions","2012/13","Financial Year","Unknown","White/Black/Asian/Other/Unknown","England and Wales","1056"
"Number of Youth Cautions","2013/14","Financial Year","Unknown","White/Black/Asian/Other/Unknown","England and Wales","1025"
"Number of Youth Cautions","2014/15","Financial Year","Unknown","White/Black/Asian/Other/Unknown","England and Wales","1210"
"Number of Youth Cautions","2015/16","Financial Year","Unknown","White/Black/Asian/Other/Unknown","England and Wales","1435"
