"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Value","Denominator","Numerator"
"Number of assaults per 100 young people in custody (average per month)","2010/11","Financial Year","Ethnic minorities","White/Ethnic minorities","12","971.2","116.7"
"Number of assaults per 100 young people in custody (average per month)","2010/11","Financial Year","White","White/Ethnic minorities","9","1911.4","172.8"
"Number of assaults per 100 young people in custody (average per month)","2011/12","Financial Year","Ethnic minorities","White/Ethnic minorities","11.9","1039.8","123.3"
"Number of assaults per 100 young people in custody (average per month)","2011/12","Financial Year","White","White/Ethnic minorities","8.3","1727.7","143.3"
"Number of assaults per 100 young people in custody (average per month)","2012/13","Financial Year","Ethnic minorities","White/Ethnic minorities","11.2","860.8","96"
"Number of assaults per 100 young people in custody (average per month)","2012/13","Financial Year","White","White/Ethnic minorities","9.5","1381.3","131.7"
"Number of assaults per 100 young people in custody (average per month)","2013/14","Financial Year","Ethnic minorities","White/Ethnic minorities","17.8","628.3","111.7"
"Number of assaults per 100 young people in custody (average per month)","2013/14","Financial Year","White","White/Ethnic minorities","12.9","1025.9","132.2"
"Number of assaults per 100 young people in custody (average per month)","2014/15","Financial Year","Ethnic minorities","White/Ethnic minorities","20.4","549.8","111.9"
"Number of assaults per 100 young people in custody (average per month)","2014/15","Financial Year","White","White/Ethnic minorities","14.3","866.1","124.2"
"Number of assaults per 100 young people in custody (average per month)","2015/16","Financial Year","Ethnic minorities","White/Ethnic minorities","24.1","524","126.3"
"Number of assaults per 100 young people in custody (average per month)","2015/16","Financial Year","White","White/Ethnic minorities","16.2","766.4","124.3"
