"Title","Assaults per 100 young people in custody by ethnicity"
"Location","England and Wales"
"Time period","2015/16"
"Data source","Youth Justice Statistics Supplementary Table 8.15"
"Data source link","https://www.gov.uk/government/collections/youth-justice-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","26/01/17"

"Ethnicity","Number of incidents per 100 young people in custody per month","Average population in custody","Average number of assaults per month"
"White","16.2","766.4","124.3"
"Other","24.1","524.0","126.3"
