"Ethnicity","Time","Rate per 100 young people per month","Average number per month"
"White","2010/11","19.1","365"
"White","2011/12","22.5","388"
"White","2012/13","23.5","325"
"White","2013/14","29.1","298"
"White","2014/15","25.8","224"
"White","2015/16","25.0","192"
"White","2016/17","29.8","195"
"Other","2010/11","23.8","231"
"Other","2011/12","30.0","312"
"Other","2012/13","24.8","213"
"Other","2013/14","28.2","177"
"Other","2014/15","32.6","179"
"Other","2015/16","32.0","168"
"Other","2016/17","35.8","182"
