"Title","Self-inflicted deaths per 1,000 prisoners by ethnicity over time"
"Location","England and Wales"
"Time period","2011 to 2015"
"Data source","NOMS annual offender equalities report: 2015 to 2016"
"Data source link","https://www.gov.uk/government/statistics/noms-annual-offender-equalities-report-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated",""

"Standard Ethnicity","Year","Rate","Number"
"Asian","2011","0.5","3"
"Asian","2012","0.5","3"
"Asian","2013","0.9","6"
"Asian","2014","0.5","3"
"Asian","2015","0.7","5"
"Black","2011","0.2","2"
"Black","2012","0.4","4"
"Black","2013","0.7","8"
"Black","2014","0.4","4"
"Black","2015","0.3","3"
"Mixed","2011","0.3","1"
"Mixed","2012","1.6","5"
"Mixed","2013","0.6","2"
"Mixed","2014","0.6","2"
"Mixed","2015","0.9","3"
"White","2011","0.8","51"
"White","2012","0.8","49"
"White","2013","1.0","60"
"White","2014","1.3","80"
"White","2015","1.2","77"
"Other/Chinese","2011","1.0","1"
"Other/Chinese","2012","0.0","0"
"Other/Chinese","2013","0.0","0"
"Other/Chinese","2014","0.0","0"
"Other/Chinese","2015","1.0","1"
