"Title","Single separation incidents for young people in custody by ethnicity"
"Location","England and Wales"
"Time period","2010/11 to 2015/16"
"Data source","Youth justice statistics"
"Data source link","https://www.gov.uk/government/collections/youth-justice-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","-"

"Ethnic Group","Year","Average number per month","Rate per 100 young people per month"
"White","2010/11","276.9","66.2"
"White","2011/12","240.1","59.7"
"White","2012/13","187.4","52.2"
"White","2013/14","168.1","48.3"
"White","2014/15","101.5","37.2"
"White","2015/16","152.0","58.7"
"Other","2010/11","94.9","59.9"
"Other","2011/12","83.3","44.0"
"Other","2012/13","38.6","22.8"
"Other","2013/14","31.3","19.1"
"Other","2014/15","46.2","29.6"
"Other","2015/16","51.6","39.6"
