"Title","Use of force on young offenders by ethnicity of offender"
"Location","England and Wales"
"Time period","2015/16"
"Data source","Youth justice statistics"
"Data source link","https://www.gov.uk/government/collections/youth-justice-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated",""

"Ethnic Group","Establishment","Number of incidents per 100 young people","Number of incidents"
"White","Cookham Wood YOI","30.5","25.6"
"White","Medway STC","24.5","7.5"
"White","Oakhill STC","38.8","20.9"
"White","Rainsbrook STC","26.8","16.9"
"White","Werrington YOI","18.4","13.2"
"White","Wetherby YOI","20.8","51.5"
"Other","Cookham Wood YOI","58.2","60.2"
"Other","Medway STC","31.2","12.2"
"Other","Oakhill STC","52.1","20.3"
"Other","Rainsbrook STC","30.9","8.2"
"Other","Werrington YOI","38.7","26.3"
"Other","Wetherby YOI","24.4","20.5"
