"Title","Use of force on young people in custody"
"Location","England and Wales"
"Time period","2016/17"
"Data source","Ministry of Justice"
"Data source link","https://www.gov.uk/government/statistics/youth-justice-annual-statistics-2016-to-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-08-31"
"Title","Use of force on young offenders by ethnicity of offender"
"Location","UK"
"Time period","2016/17"
"Data source","Youth justice statistics"
"Data source link","https://www.gov.uk/government/collections/youth-justice-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated",""

"","White","","Other",""
"Establishment","Number of incidents per 100 young people","Number of incidents","Number of incidents per 100 young people","Number of incidents"
"Cookham Wood YOI","30.8","22","47.1","52"
"Feltham YOI","25.7","16","43.5","47"
"Medway STC","60.0","8","88.1","15"
"Oakhill STC","101.0","43","135.1","54"
"Rainsbrook STC","78.5","36","94.6","21"
"Werrington YOI","17.7","12","24.7","16"
"Wetherby YOI","22.3","45","30.9","31"
