"Involvement Type","Ethnicity","Number","Incidents per 1000 prisoners"
"Assailant","Asian","810","117.9"
"Assailant","Black","3,017","285.3"
"Assailant","Mixed","1,177","335.5"
"Assailant","White","8,026","127.0"
"Assailant","Other (including Chinese)","160","163.1"
"Fighter","Asian","858","124.9"
"Fighter","Black","2,817","266.4"
"Fighter","Mixed","980","279.3"
"Fighter","White","7,905","125.1"
"Fighter","Other (including Chinese)","191","194.7"
"Victim","Asian","769","111.9"
"Victim","Black","1,335","126.3"
"Victim","Mixed","475","135.4"
"Victim","White","6,761","107.0"
"Victim","Other (including Chinese)","128","130.5"
