"Title","Use of force by ethnicity"
"Location","England and Wales"
"Time period","2015/16"
"Data source","[Youth Justice Statistics Supplementary Table 8.15](https://www.gov.uk/government/statistics/youth-justice-statistics-2015-to-2016)"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Establishment","Ethnic Group","Number of Incidents per 100 in custody (avg per month)","Number of Incidents (avg per month)","Percentage of Custody population (proportion)","Percentage of Incidents (proportion)"
"Cookham Wood YOI","BAME","58.2","60.2","0.6","0.7"
"Cookham Wood YOI","White","30.5","25.6","0.4","0.3"
"Medway STC","BAME","31.2","12.2","0.6","0.6"
"Medway STC","White","24.5","7.5","0.4","0.4"
"Oakhill STC","BAME","52.1","20.3","0.4","0.5"
"Oakhill STC","White","38.8","20.9","0.6","0.5"
"Rainsbrook STC","BAME","30.9","8.2","0.3","0.3"
"Rainsbrook STC","White","26.8","16.9","0.7","0.7"
"Werrington YOI","BAME","38.7","26.3","0.5","0.7"
"Werrington YOI","White","18.4","13.2","0.5","0.3"
"Wetherby YOI","BAME","24.4","20.5","0.3","0.3"
"Wetherby YOI","White","20.8","51.5","0.7","0.7"
