"Title","Remand status at Crown Court by ethnicity and gender"
"Location","England and Wales"
"Time period","2012 to 2016"
"Data source","Criminal Justice Statistics https://www.gov.uk/government/statistics/criminal-justice-system-statistics-quarterly-september-2016"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Year","Remand status at the Crown Court","Gender","Age group","Ethnicity"," Total defendants "," Number in each group with each remand status ","Percentage"
"2012","Not remanded","Male","All"," White"," 64,020 "," 11,339 ","17.7"
"2012","Not remanded","Male","All"," Black"," 9,560 "," 1,036 ","10.8"
"2012","Not remanded","Male","All"," Asian"," 6,883 "," 685 ","10.0"
"2012","Not remanded","Male","All"," Mixed"," 2,781 "," 409 ","14.7"
"2012","Not remanded","Male","All"," Chinese or other"," 1,617 "," 240 ","14.8"
"2012","Not remanded","Male","All"," Not stated"," 8,682 "," 1,598 ","18.4"
"2012","Not remanded","Female","All"," White"," 7,797 "," 1,140 ","14.6"
"2012","Not remanded","Female","All"," Black"," 908 "," 109 ","12.0"
"2012","Not remanded","Female","All"," Asian"," 411 "," 31 ","7.5"
"2012","Not remanded","Female","All"," Mixed"," 360 "," 48 ","13.3"
"2012","Not remanded","Female","All"," Chinese or other"," 206 "," 21 ","10.2"
"2012","Not remanded","Female","All"," Not stated"," 1,718 "," 344 ","20.0"
"2013","Not remanded","Male","All"," White"," 60,586 "," 11,082 ","18.3"
"2013","Not remanded","Male","All"," Black"," 8,753 "," 1,024 ","11.7"
"2013","Not remanded","Male","All"," Asian"," 6,512 "," 667 ","10.2"
"2013","Not remanded","Male","All"," Mixed"," 2,649 "," 393 ","14.8"
"2013","Not remanded","Male","All"," Chinese or other"," 1,478 "," 199 ","13.5"
"2013","Not remanded","Male","All"," Not stated"," 8,856 "," 1,507 ","17.0"
"2013","Not remanded","Female","All"," White"," 6,922 "," 1,078 ","15.6"
"2013","Not remanded","Female","All"," Black"," 763 "," 63 ","8.3"
"2013","Not remanded","Female","All"," Asian"," 340 "," 30 ","8.8"
"2013","Not remanded","Female","All"," Mixed"," 272 "," 33 ","12.1"
"2013","Not remanded","Female","All"," Chinese or other"," 168 "," 15 ","8.9"
"2013","Not remanded","Female","All"," Not stated"," 1,693 "," 317 ","18.7"
"2014","Not remanded","Male","All"," White"," 61,062 "," 9,583 ","15.7"
"2014","Not remanded","Male","All"," Black"," 8,643 "," 847 ","9.8"
"2014","Not remanded","Male","All"," Asian"," 6,308 "," 594 ","9.4"
"2014","Not remanded","Male","All"," Mixed"," 2,545 "," 340 ","13.4"
"2014","Not remanded","Male","All"," Chinese or other"," 1,345 "," 143 ","10.6"
"2014","Not remanded","Male","All"," Not stated"," 9,923 "," 1,629 ","16.4"
"2014","Not remanded","Female","All"," White"," 7,094 "," 941 ","13.3"
"2014","Not remanded","Female","All"," Black"," 670 "," 56 ","8.4"
"2014","Not remanded","Female","All"," Asian"," 329 "," 22 ","6.7"
"2014","Not remanded","Female","All"," Mixed"," 265 "," 34 ","12.8"
"2014","Not remanded","Female","All"," Chinese or other"," 187 "," 27 ","14.4"
"2014","Not remanded","Female","All"," Not stated"," 2,025 "," 340 ","16.8"
"2015","Not remanded","Male","All"," White"," 60,187 "," 8,673 ","14.4"
"2015","Not remanded","Male","All"," Black"," 8,406 "," 870 ","10.3"
"2015","Not remanded","Male","All"," Asian"," 6,380 "," 574 ","9.0"
"2015","Not remanded","Male","All"," Mixed"," 2,510 "," 293 ","11.7"
"2015","Not remanded","Male","All"," Chinese or other"," 1,392 "," 139 ","10.0"
"2015","Not remanded","Male","All"," Not stated"," 12,034 "," 1,939 ","16.1"
"2015","Not remanded","Female","All"," White"," 7,216 "," 919 ","12.7"
"2015","Not remanded","Female","All"," Black"," 745 "," 56 ","7.5"
"2015","Not remanded","Female","All"," Asian"," 364 "," 16 ","4.4"
