"Title","Self-harm incidents per 1,000 prisoners by ethnicity"
"Location","England and Wales"
"Time period","2011 to 2015"
"Data source","National Offender Management Service (NOMS) Offender Equalities Statistics Bulletin - supplementary table 3.3 https://www.gov.uk/government/statistics/noms-annual-offender-equalities-report-2015-to-2016"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Year","Ethnic Group","Proportion of self-harm incidents per year by ethnic group","Value"
"2011","White","0.915395646","338.8"
"2011","Asian","0.027115109","99"
"2011","Black","0.031156303","63"
"2011","Mixed","0.020944683","152.8"
"2011","Other","0.005388259","127.3"
"2012","White","0.914039073","324.7"
"2012","Asian","0.026306224","90.3"
"2012","Black","0.032848705","64.8"
"2012","Mixed","0.019672876","136.1"
"2012","Other","0.007133121","159.3"
"2013","White","0.897247455","321.9"
"2013","Asian","0.028849226","97.5"
"2013","Black","0.03446387","69.9"
"2013","Mixed","0.030081709","203.8"
"2013","Other","0.00935774","205.2"
"2014","White","0.907988559","361.1"
"2014","Asian","0.021794304","81.5"
"2014","Black","0.030737622","71.2"
"2014","Mixed","0.031905894","229.2"
"2014","Other","0.007573621","183.5"
"2015","White","0.907840133","450"
"2015","Asian","0.027165932","123.8"
"2015","Black","0.027293622","80.9"
"2015","Mixed","0.03064547","273.6"
"2015","Other","0.007054843","225.3"
