"Title","Influencing local decisions"
"Location","England"
"Time period","2016/17 to 2017/18"
"Data source","Department for Digital, Culture, Media and Sport"
"Data source link","https://www.gov.uk/government/collections/community-life-survey--2"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-03"
"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Value","Number of respondents"
"Feeling of being able to influence decisions affecting the local area","2016-17","Year","All","5+1","England","27","10014"
"Feeling of being able to influence decisions affecting the local area","2016-17","Year","Asian","5+1","England","37","1086"
"Feeling of being able to influence decisions affecting the local area","2016-17","Year","Black","5+1","England","44","349"
"Feeling of being able to influence decisions affecting the local area","2016-17","Year","Mixed","5+1","England","37","446"
"Feeling of being able to influence decisions affecting the local area","2016-17","Year","White","5+1","England","25","7854"
"Feeling of being able to influence decisions affecting the local area","2016-17","Year","Other","5+1","England","34","158"
"Feeling of being able to influence decisions affecting the local area","2017-18","Year","All","5+1","England","26","9994"
"Feeling of being able to influence decisions affecting the local area","2017-18","Year","Asian","5+1","England","34","903"
"Feeling of being able to influence decisions affecting the local area","2017-18","Year","Black","5+1","England","43","348"
"Feeling of being able to influence decisions affecting the local area","2017-18","Year","Mixed","5+1","England","34","494"
"Feeling of being able to influence decisions affecting the local area","2017-18","Year","White","5+1","England","24","7943"
"Feeling of being able to influence decisions affecting the local area","2017-18","Year","Other","5+1","England","40","120"
