"Title","People who felt they could influence local decisions, by ethnicity"
"Location","England"
"Time period","2016/17 to 2017/18"
"Data source","Community Life Survey"
"Data source link","https://www.gov.uk/government/collections/community-life-survey--2"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","26/07/2018"

"Time","Ethnicity","%","Number of respondents"
"2016/17","All","27","10,014"
"2016/17","Asian","37","1,086"
"2016/17","Black","44","349"
"2016/17","Mixed","37","446"
"2016/17","White","25","7,854"
"2016/17","Other","34","158"
"2017/18","All","26","9,994"
"2017/18","Asian","34","903"
"2017/18","Black","43","348"
"2017/18","Mixed","34","494"
"2017/18","White","24","7,943"
"2017/18","Other","40","120"
