"Title","Regular formal volunteering by ethnicity"
"Location","England"
"Time period","2016/17 to 2017/18"
"Data source","Community Life Survey"
"Data source link","https://www.gov.uk/government/collections/community-life-survey--2"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","26/07/2018"

"Time","Ethnicity","%","Number of respondents"
"2016/17","All","22","10,256"
"2016/17","Asian","17","1,111"
"2016/17","Black","25","360"
"2016/17","Mixed","16","467"
"2016/17","White","23","8,022"
"2016/17","Other","23","163"
"2017/18","All","22","10,217"
"2017/18","Asian","18","926"
"2017/18","Black","24","353"
"2017/18","Mixed","19","510"
"2017/18","White","23","8,108"
"2017/18","Other","18","124"
