"Title","People who chat regularly to their neighbours by ethnicity"
"Location","England"
"Time period","2016/17 to 2017/18"
"Data source","Community Life Survey"
"Data source link","https://www.gov.uk/government/collections/community-life-survey--2"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","26/07/2018"

"Time","Ethnicity","%","Number of respondents"
"2016/17","All","73","10,235"
"2016/17","Asian","67","1,108"
"2016/17","Black","68","360"
"2016/17","Mixed","70","463"
"2016/17","White","74","8,009"
"2016/17","Other","67","162"
"2017/18","All","73","10,191"
"2017/18","Asian","67","923"
"2017/18","Black","62","352"
"2017/18","Mixed","68","508"
"2017/18","White","74","8,089"
"2017/18","Other","54","124"
