"Title","English language skills by ethnicity and region"
"Location","England and Wales"
"Time period","2011"
"Data source","2011 Census"
"Data source link","https://www.ons.gov.uk/peoplepopulationandcommunity/culturalidentity/language/articles/languageinenglandandwales/2013-03-04"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","March 2013"

"Region_name","Ethnicity",""
"North East","White British","0.0"
"North East","White Irish","0.0"
"North East","White Gypsy/Traveller","0.6"
"North East","Other White","1.7"
"North East","Mixed White/Black Caribbean","0.1"
"North East","Mixed White/Black African","0.2"
"North East","Mixed White/Asian","0.2"
"North East","Other Mixed","0.3"
"North East","Asian Indian","0.5"
"North East","Asian Pakistani","1.3"
"North East","Asian Bangladeshi","2.6"
"North East","Asian Chinese","2.7"
"North East","Asian other","0.6"
"North East","Black African","0.4"
"North East","Black Caribbean","0.3"
"North East","Other Black","1.0"
"North East","Arab","3.0"
"North East","Any other","1.0"
"North West","White British","0.0"
"North West","White Irish","0.0"
"North West","White Gypsy/Traveller","1.2"
"North West","Other White","1.9"
"North West","Mixed White/Black Caribbean","0.0"
"North West","Mixed White/Black African","0.2"
"North West","Mixed White/Asian","0.2"
"North West","Other Mixed","0.4"
"North West","Asian Indian","1.2"
"North West","Asian Pakistani","2.0"
"North West","Asian Bangladeshi","3.5"
"North West","Asian Chinese","3.2"
"North West","Asian other","1.3"
"North West","Black African","0.7"
"North West","Black Caribbean","0.1"
"North West","Other Black","0.6"
"North West","Arab","2.2"
"North West","Any other","1.3"
"Yorkshire and The Humber","White British","0.0"
"Yorkshire and The Humber","White Irish","0.0"
"Yorkshire and The Humber","White Gypsy/Traveller","1.7"
"Yorkshire and The Humber","Other White","2.7"
"Yorkshire and The Humber","Mixed White/Black Caribbean","0.1"
"Yorkshire and The Humber","Mixed White/Black African","0.6"
"Yorkshire and The Humber","Mixed White/Asian","0.4"
"Yorkshire and The Humber","Other Mixed","0.7"
"Yorkshire and The Humber","Asian Indian","1.1"
"Yorkshire and The Humber","Asian Pakistani","2.7"
"Yorkshire and The Humber","Asian Bangladeshi","3.3"
"Yorkshire and The Humber","Asian Chinese","2.4"
"Yorkshire and The Humber","Asian other","1.5"
"Yorkshire and The Humber","Black African","0.7"
"Yorkshire and The Humber","Black Caribbean","0.1"
"Yorkshire and The Humber","Other Black","0.8"
"Yorkshire and The Humber","Arab","2.8"
"Yorkshire and The Humber","Any other","2.2"
"East Midlands","White British","0.0"
"East Midlands","White Irish","0.0"
"East Midlands","White Gypsy/Traveller","1.5"
"East Midlands","Other White","2.5"
"East Midlands","Mixed White/Black Caribbean","0.1"
"East Midlands","Mixed White/Black African","0.2"
"East Midlands","Mixed White/Asian","0.2"
