"Title"," People visiting a heritage site in the past year, by ethnicity over time"
"Location","England"
"Time period","2005/06 to 2015/16"
"Data source","Taking Part Survey"
"Data source link","https://www.gov.uk/government/collections/sat--2"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated",""

"Standard Ethnicity","Year","%","Number of respondents"
"All","2005/06","70","28,117"
"All","2006/07","69","24,174"
"All","2007/08","71","25,720"
"All","2008/09","68","14,452"
"All","2009/10","70","6,097"
"All","2010/11","71","14,102"
"All","2011/12","74","9,188"
"All","2012/13","73","9,838"
"All","2013/14","73","10,355"
"All","2014/15","73","9,817"
"All","2015/16","73","10,171"
"White","2005/06","72","24,038"
"White","2006/07","72","21,317"
"White","2007/08","73","22,794"
"White","2008/09","71","12,979"
"White","2009/10","71","5,455"
"White","2010/11","73","12,617"
"White","2011/12","76","8,301"
"White","2012/13","75","9,054"
"White","2013/14","74","9,545"
"White","2014/15","75","9,050"
"White","2015/16","75","9,312"
"Other","2005/06","51","4,047"
"Other","2006/07","48","2,829"
"Other","2007/08","54","2,880"
"Other","2008/09","50","1,451"
"Other","2009/10","50","630"
"Other","2010/11","54","1,457"
"Other","2011/12","61","871"
"Other","2012/13","57","775"
"Other","2013/14","60","798"
"Other","2014/15","56","757"
"Other","2015/16","57","850"
