"Title"," Percentage of adults who had visited a heritage site in the past year, by ethnicity over time"
"Location","England"
"Time period","2005/06 to 2015/16"
"Data source","Taking Part survey"
"Data source link","https://www.gov.uk/government/collections/sat--2"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","April 2017"

"","All","","White","","Other",""
"","%","Number ","%","Number ","%","Number "
"2005/06","70","28,117","72","24,038","51","4,047"
"2006/07","69","24,174","72","21,317","48","2,829"
"2007/08","71","25,720","73","22,794","54","2,880"
"2008/09","68","14,452","71","12,979","50","1,451"
"2009/10","70","6,097","71","5,455","50","630"
"2010/11","71","14,102","73","12,617","54","1,457"
"2011/12","74","9,188","76","8,301","61","871"
"2012/13","73","9,838","75","9,054","57","775"
"2013/14","73","10,355","74","9,545","60","798"
"2014/15","73","9,817","75","9,050","56","757"
"2015/16","73","10,171","75","9,312","57","850"
