"","All","","White","","Other than White",""
"Year","%","Number of respondents","%","Number of respondents","%","Number of respondents"
"2005/06","42","28,117","43","24,038","35","4,047"
"2006/07","41","24,174","42","21,317","34","2,829"
"2007/08","44","25,720","44","22,794","39","2,880"
"2008/09","43","14,452","44","12,979","37","1,451"
"2009/10","46","6,097","47","5,455","40","630"
"2010/11","46","14,102","47","12,617","38","1,457"
"2011/12","49","9,188","49","8,301","44","871"
"2012/13","53","9,838","54","9,054","45","775"
"2013/14","53","10,355","54","9,545","49","798"
"2014/15","52","9,817","53","9,050","43","757"
"2015/16","53","10,171","53","9,312","48","850"
"2016/17","52","9,352","54","8,473","44","862"
