"Title","Visits to the natural environment in the previous 7 days by ethnicity and socio-economic group"
"Location","England"
"Time period","2009 to 2016 (combined)"
"Data source","Monitor of Engagement with the Natural Environment: 2015 to 2016"
"Data source link","https://www.gov.uk/government/statistics/monitor-of-engagement-with-the-natural-environment-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated",""

"","Higher and intermediate managerial","Supervisory and junior managerial","Skilled manual workers","Semi and unskilled manual workers"
"Ethnicity","%","%","%","%"
"White","54.7","46.8","41.7","32.7"
"Other","35.0","28.4","24.4","22.6"
