"Title","Internet use by ethnicity and area"
"Location","UK"
"Time period","January to March 2017"
"Data source","Internet users in the UK: 2017"
"Data source link","https://www.ons.gov.uk/businessindustryandtrade/itandinternetindustry/bulletins/internetusers/2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated",""

"","All","","Asian","","Black","","Other inc. Mixed","","White",""
"Region or country","%","No. of people (thousands)","%","No. of people (thousands)","%","No. of people (thousands)","%","No. of people (thousands)","%","No. of people (thousands)"
"UK","89"," 46,714 ","91","3,006","92","1,394","95","1,429","88","40,885"
"North East","85"," 1,817 ","?","?","?","?","?","?","85","1,752"
"North West","88"," 5,071 ","90","269","88","96","?","?","88","4,589"
"Yorkshire and the Humber","87"," 3,765 ","88","224","?","?","?","?","86","3,395"
"East Midlands","88"," 3,326 ","88","188","91","68","?","?","88","3,003"
"West Midlands","86"," 3,974 ","87","409","89","140","92","128","86","3,298"
"East of England","90"," 4,427 ","95","192","96","96","?","?","90","4,037"
"London","93"," 6,497 ","92","1,186","93","744","94","598","93","3,969"
"South East","92"," 6,593 ","95","278","?","?","?","?","91","6,056"
"South West","89"," 3,986 ","?","?","70","29","?","?","89","3,817"
"Wales","87"," 2,188 ","?","?","?","?","?","?","87","2,100"
"Scotland","88"," 3,845 ","93","97","?","?","?","?","87","3,668"
"Northern Ireland","84"," 1,223 ","?","?","?","?","?","?","84","1,201"
