"Standard Ethnicity","Region or country","%","No. of people (thousands)"
"All","UK","89"," 46,714 "
"All","North East","85"," 1,817 "
"All","North West","88"," 5,071 "
"All","Yorkshire and the Humber","87"," 3,765 "
"All","East Midlands","88"," 3,326 "
"All","West Midlands","86"," 3,974 "
"All","East of England","90"," 4,427 "
"All","London","93"," 6,497 "
"All","South East","92"," 6,593 "
"All","South West","89"," 3,986 "
"All","Wales","87"," 2,188 "
"All","Scotland","88"," 3,845 "
"All","Northern Ireland","84"," 1,223 "
"Asian","UK","91","3,006"
"Asian","North East","?","?"
"Asian","North West","90","269"
"Asian","Yorkshire and the Humber","88","224"
"Asian","East Midlands","88","188"
"Asian","West Midlands","87","409"
"Asian","East of England","95","192"
"Asian","London","92","1,186"
"Asian","South East","95","278"
"Asian","South West","?","?"
"Asian","Wales","?","?"
"Asian","Scotland","93","97"
"Asian","Northern Ireland","?","?"
"Black","UK","92","1,394"
"Black","North East","?","?"
"Black","North West","88","96"
"Black","Yorkshire and the Humber","?","?"
"Black","East Midlands","91","68"
"Black","West Midlands","89","140"
"Black","East of England","96","96"
"Black","London","93","744"
"Black","South East","?","?"
"Black","South West","70","29"
"Black","Wales","?","?"
"Black","Scotland","?","?"
"Black","Northern Ireland","?","?"
"Other inc. Mixed","UK","95","1,429"
"Other inc. Mixed","North East","?","?"
"Other inc. Mixed","North West","?","?"
"Other inc. Mixed","Yorkshire and the Humber","?","?"
"Other inc. Mixed","East Midlands","?","?"
"Other inc. Mixed","West Midlands","92","128"
"Other inc. Mixed","East of England","?","?"
"Other inc. Mixed","London","94","598"
"Other inc. Mixed","South East","?","?"
"Other inc. Mixed","South West","?","?"
"Other inc. Mixed","Wales","?","?"
"Other inc. Mixed","Scotland","?","?"
"Other inc. Mixed","Northern Ireland","?","?"
"White","UK","88","40,885"
"White","North East","85","1,752"
"White","North West","88","4,589"
"White","Yorkshire and the Humber","86","3,395"
"White","East Midlands","88","3,003"
"White","West Midlands","86","3,298"
"White","East of England","90","4,037"
"White","London","93","3,969"
"White","South East","91","6,056"
"White","South West","89","3,817"
"White","Wales","87","2,100"
"White","Scotland","87","3,668"
"White","Northern Ireland","84","1,201"
