"","All","Asian","Black","Mixed","White","Other"
"Time","%","%","%","%","%","%"
"2002/06","19","23","40","39","18","36"
"2003/07","19","23","42","38","18","38"
"2004/08","19","22","42","35","18","38"
"2005/09","19","22","41","35","18","41"
"2006/10","19","22","41","33","18","38"
"2007/11","19","24","42","36","18","38"
"2008/12","20","25","42","36","18","40"
"2009/13","20","24","43","36","18","38"
"2010/14","20","24","43","36","18","34"
"2011/15","19","24","42","35","18","37"
"2012/16","19","22","40","30","18","35"
