"","All ethnic groups","","Asian","","Black","","Mixed","","White","","Other",""
"Type of transport","%","Miles","%","Miles","%","Miles","%","Miles","%","Miles","%","Miles"
"Bicycle","1","53","0","14","0","17","1","46","1","58","1","43"
"Bus in London","1","81","5","209","14","596","4","180","1","45","9","349"
"Car / van driver","50","3,294","40","1,806","32","1,406","30","1,415","51","3,545","36","1,458"
"Car / van passenger","28","1,867","27","1,186","23","980","35","1,642","28","1,971","27","1,081"
"London Underground","1","85","5","221","5","204","3","126","1","67","5","213"
"Motorcycle ","0","33","!","!","!","!","!","!","1","38","!","!"
"Non-local bus","1","52","!","!","!","!","!","!","1","52","!","!"
"Other local bus","3","205","3","149","5","219","4","201","3","210","4","144"
"Other private transport","2","109","1","45","!","!","!","!","2","117","!","!"
"Other public transport","1","41","1","24","1","43","!","!","1","44","!","!"
"Surface Rail","8","554","12","524","13","556","13","592","8","558","10","421"
"Taxi / minicab","1","55","1","41","1","61","!","!","1","56","!","!"
"Walk","3","184","4","172","4","187","5","224","3","184","5","195"
