"Title","Distance travelled by ethnicity and purpose of journey"
"Location","England"
"Time period","2013 to 2017 (5-year average)"
"Data source","National Travel Survey"
"Data source link","https://www.gov.uk/government/collections/national-travel-survey-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","26/07/2018"

"Ethnicity","Trip_Purpose","%","Miles"
"All","Business","9","608"
"All","Commuting","20","1,296"
"All","Education","5","331"
"All","Leisure","40","2,615"
"All","Other escort","7","444"
"All","Other including just walk","1","49"
"All","Personal business","7","475"
"All","Shopping","11","745"
"Asian","Business","6","274"
"Asian","Commuting","30","1,383"
"Asian","Education","8","390"
"Asian","Leisure","32","1,490"
"Asian","Other escort","6","282"
"Asian","Other including just walk","1","26"
"Asian","Personal business","8","371"
"Asian","Shopping","9","430"
"Black","Business","7","283"
"Black","Commuting","27","1,124"
"Black","Education","12","483"
"Black","Leisure","27","1,116"
"Black","Other escort","7","288"
"Black","Other including just walk","0","14"
"Black","Personal business","12","520"
"Black","Shopping","9","362"
"Mixed","Business","6","304"
"Mixed","Commuting","19","962"
"Mixed","Education","10","538"
"Mixed","Leisure","43","2,188"
"Mixed","Other escort","9","437"
"Mixed","Other including just walk","1","30"
"Mixed","Personal business","7","364"
"Mixed","Shopping","6","305"
"White","Business","10","659"
"White","Commuting","19","1,304"
"White","Education","5","315"
"White","Leisure","41","2,795"
"White","Other escort","7","467"
"White","Other including just walk","1","53"
"White","Personal business","7","486"
"White","Shopping","12","799"
"Other","Business","7","285"
"Other","Commuting","26","1,114"
"Other","Education","10","424"
"Other","Leisure","31","1,337"
"Other","Other escort","7","285"
"Other","Other including just walk","1","24"
"Other","Personal business","9","371"
"Other","Shopping","10","423"
