"","All","","Asian","","Black","","Mixed","","White","","Other",""
"","Miles","Trips","Miles","Trips","Miles","Trips","Miles","Trips","Miles","Trips","Miles","Trips"
"2002/06","7,151","1,065","4,567","876","4,704","823","4,964","938","7,434","1,087","4,473","840"
"2003/07","7,139","1,049","4,489","868","4,876","816","5,002","943","7,424","1,071","4,584","854"
"2004/08","7,076","1,041","4,505","865","4,796","833","5,277","937","7,356","1,061","4,536","863"
"2005/09","7,007","1,029","4,590","870","4,784","836","5,304","943","7,285","1,048","4,386","863"
"2006/10","6,910","1,012","4,695","859","4,685","828","5,327","930","7,188","1,031","4,438","865"
"2007/11","6,842","993","4,595","836","4,637","826","5,088","908","7,134","1,013","4,627","836"
"2008/12","6,734","987","4,589","837","4,497","827","4,950","891","7,037","1,009","4,429","798"
"2009/13","6,675","973","4,556","832","4,394","813","4,841","880","6,990","994","4,588","795"
"2010/14","6,630","962","4,482","808","4,455","809","4,814","859","6,947","984","4,536","784"
"2011/15","6,622","952","4,469","798","4,360","799","4,703","871","6,953","975","4,048","754"
"2012/16","6,570","949","4,630","801","4,280","792","4,806","869","6,887","971","4,107","783"
"2013/17","6,564","949","4,645","801","4,190","778","5,128","883","6,880","972","4,262","796"
