"Ethnicity","Trip_Purpose","%","Trips"
"All","Business","3","31"
"All","Commuting","15","145"
"All","Education","12","118"
"All","Leisure","26","245"
"All","Other escort","9","86"
"All","Other including just walk","5","49"
"All","Personal business","10","92"
"All","Shopping","19","183"
"Asian","Business","2","17"
"Asian","Commuting","20","158"
"Asian","Education","20","164"
"Asian","Leisure","18","142"
"Asian","Other escort","9","69"
"Asian","Other including just walk","3","25"
"Asian","Personal business","11","91"
"Asian","Shopping","17","136"
"Black","Business","3","26"
"Black","Commuting","18","137"
"Black","Education","22","174"
"Black","Leisure","17","132"
"Black","Other escort","8","64"
"Black","Other including just walk","2","14"
"Black","Personal business","14","110"
"Black","Shopping","15","120"
"Mixed","Business","2","20"
"Mixed","Commuting","12","106"
"Mixed","Education","23","207"
"Mixed","Leisure","25","217"
"Mixed","Other escort","11","99"
"Mixed","Other including just walk","5","42"
"Mixed","Personal business","9","78"
"Mixed","Shopping","13","114"
"White","Business","3","32"
"White","Commuting","15","145"
"White","Education","11","109"
"White","Leisure","27","260"
"White","Other escort","9","88"
"White","Other including just walk","5","53"
"White","Personal business","10","93"
"White","Shopping","20","191"
"Other","Business","4","30"
"Other","Commuting","18","144"
"Other","Education","20","161"
"Other","Leisure","18","144"
"Other","Other escort","9","71"
"Other","Other including just walk","4","29"
"Other","Personal business","9","68"
"Other","Shopping","19","150"
